Date,Predict
2007-01-09,1671.4551
2007-01-10,1671.4551
2007-01-11,1551.6034
2007-01-12,1549.3295
2007-01-15,1579.0767
2007-01-16,1571.2192
2007-01-17,1630.1613
2007-01-18,1620.6509
2007-01-19,1590.2136
2007-01-22,1587.008
2007-01-23,1596.5173
2007-01-24,1633.9652
2007-01-25,1643.4939
2007-01-26,1641.6157
2007-01-29,1660.5786
2007-01-30,1649.1299
2007-01-31,1621.3192
2007-02-01,1624.3724
2007-02-02,1636.272
2007-02-05,1682.1788
2007-02-06,1680.5863
2007-02-07,1692.9801
2007-02-08,1710.1293
2007-02-09,1703.7086
2007-02-12,1659.0682
2007-02-13,1674.5282
2007-02-14,1618.9648
2007-02-15,1658.1882
2007-02-16,1670.2839
2007-02-19,1670.1638
2007-02-20,1673.5773
2007-02-21,1675.9098
2007-02-22,1661.7888
2007-02-26,1677.3016
2007-02-27,1707.8317
2007-02-28,1734.2395
2007-03-01,1661.3087
2007-03-02,1634.5543
2007-03-05,1562.9283
2007-03-06,1570.7816
2007-03-07,1518.9387
2007-03-09,1541.6962
2007-03-12,1546.103
2007-03-13,1589.1682
2007-03-14,1588.4116
2007-03-15,1590.333
2007-03-16,1549.558
2007-03-19,1582.6289
2007-03-20,1589.2579
2007-03-21,1627.0171
2007-03-22,1608.9032
2007-03-23,1625.4203
2007-03-26,1659.3982
2007-03-27,1681.2872
2007-03-28,1680.2458
2007-03-29,1660.3685
2007-03-30,1675.9098
2007-04-02,1697.1803
2007-04-03,1677.4117
2007-04-04,1674.8488
2007-04-05,1679.4847
2007-04-06,1681.4978
2007-04-09,1697.8423
2007-04-10,1706.7582
2007-04-11,1732.1394
2007-04-12,1737.5262
2007-04-13,1734.4105
2007-04-16,1713.6016
2007-04-17,1749.8339
2007-04-18,1757.4707
2007-04-19,1734.099
2007-04-20,1705.5544
2007-04-23,1671.6351
2007-04-24,1722.8275
2007-04-25,1720.6586
2007-04-26,1712.1763
2007-04-27,1720.8995
2007-04-28,1705.5042
2007-05-02,1657.568
2007-05-03,1676.6008
2007-05-04,1658.498
2007-05-07,1673.0465
2007-05-08,1677.6519
2007-05-10,1676.9912
2007-05-11,1663.4196
2007-05-14,1644.2032
2007-05-15,1605.2451
2007-05-16,1611.8143
2007-05-17,1584.9874
2007-05-18,1614.7261
2007-05-21,1598.5492
2007-05-22,1625.3004
2007-05-23,1630.6703
2007-05-24,1625.1708
2007-05-25,1575.7045
2007-05-28,1558.129
2007-05-29,1561.1199
2007-05-30,1540.5747
2007-05-31,1504.4996
2007-06-01,1496.2664
2007-06-04,1550.0941
2007-06-05,1599.3065
2007-06-06,1591.2589
2007-06-07,1594.7842
2007-06-08,1587.3763
2007-06-09,1567.5009
2007-06-13,1567.2323
2007-06-14,1573.5662
2007-06-15,1591.0201
2007-06-18,1642.0251
2007-06-19,1651.599
2007-06-20,1661.5289
2007-06-21,1649.6796
2007-06-22,1680.2758
2007-06-25,1652.9186
2007-06-26,1654.9082
2007-06-27,1634.2549
2007-06-28,1651.9789
2007-06-29,1634.2249
2007-07-02,1649.0101
2007-07-03,1645.2726
2007-07-04,1661.9989
2007-07-05,1684.8834
2007-07-06,1681.5277
2007-07-09,1708.6543
2007-07-10,1714.0431
2007-07-11,1733.0037
2007-07-12,1702.6758
2007-07-13,1717.0544
2007-07-16,1767.5177
2007-07-17,1771.2744
2007-07-18,1772.7146
2007-07-19,1769.3405
2007-07-20,1747.2086
2007-07-23,1779.5562
2007-07-24,1771.2744
2007-07-25,1787.1261
2007-07-26,1746.4745
2007-07-27,1760.3091
2007-07-30,1703.6484
2007-07-31,1682.339
2007-08-01,1681.9584
2007-08-02,1713.8223
2007-08-03,1672.4559
2007-08-06,1691.7172
2007-08-07,1694.8245
2007-08-08,1668.7327
2007-08-09,1671.445
2007-08-10,1704.7015
2007-08-13,1655.6282
2007-08-14,1623.4844
2007-08-15,1659.3284
2007-08-16,1655.8381
2007-08-17,1618.9948
2007-08-20,1578.8976
2007-08-21,1617.1895
2007-08-22,1601.4585
2007-08-23,1586.0923
2007-08-24,1612.3627
2007-08-27,1613.0009
2007-08-28,1613.3799
2007-08-29,1635.6426
2007-08-30,1621.6287
2007-08-31,1620.1421
2007-09-03,1620.4113
2007-09-04,1656.3282
2007-09-05,1658.0482
2007-09-06,1642.5547
2007-09-07,1633.3861
2007-09-10,1652.4387
2007-09-11,1617.4686
2007-09-12,1620.5011
2007-09-13,1627.9855
2007-09-14,1615.055
2007-09-17,1645.8021
2007-09-18,1639.3779
2007-09-19,1627.5659
2007-09-20,1648.3706
2007-09-21,1710.1393
2007-09-24,1695.9774
2007-09-25,1704.4911
2007-09-26,1715.7997
