Date,Predict
2007-01-03,2397.5752
2007-01-04,2397.5752
2007-01-05,2391.8489
2007-01-08,2412.524
2007-01-09,2403.0107
2007-01-10,2410.7766
2007-01-11,2401.7493
2007-01-12,2431.7458
2007-01-16,2448.0583
2007-01-17,2470.2979
2007-01-18,2454.079
2007-01-19,2441.844
2007-01-22,2405.2434
2007-01-23,2421.649
2007-01-24,2396.2166
2007-01-25,2410.485
2007-01-26,2436.018
2007-01-29,2408.6409
2007-01-30,2402.3315
2007-01-31,2414.0767
2007-02-01,2410.7766
2007-02-02,2440.679
2007-02-05,2440.776
2007-02-06,2441.5527
2007-02-07,2442.3296
2007-02-08,2450.0005
2007-02-09,2450.7773
2007-02-12,2457.6724
2007-02-13,2427.5713
2007-02-14,2422.4258
2007-02-15,2434.756
2007-02-16,2455.9243
2007-02-20,2457.575
2007-02-21,2457.867
2007-02-22,2469.2295
2007-02-23,2488.5586
2007-02-26,2487.684
2007-02-27,2490.1128
2007-02-28,2435.4358
2007-03-01,2380.2996
2007-03-02,2346.6301
2007-03-05,2358.952
2007-03-06,2337.705
2007-03-07,2332.952
2007-03-08,2351.8694
2007-03-09,2365.4531
2007-03-12,2371.7603
2007-03-13,2354.2947
2007-03-14,2357.9814
2007-03-15,2321.1177
2007-03-16,2340.6152
2007-03-19,2346.2422
2007-03-20,2353.9065
2007-03-21,2363.7065
2007-03-22,2383.7937
2007-03-23,2424.1736
2007-03-26,2419.028
2007-03-27,2418.8337
2007-03-28,2416.2124
2007-03-29,2395.1487
2007-03-30,2400.2932
2007-04-02,2388.0637
2007-04-03,2393.4019
2007-04-04,2400.099
2007-04-05,2419.1248
2007-04-09,2424.6587
2007-04-10,2444.4658
2007-04-11,2434.853
2007-04-12,2444.2717
2007-04-13,2422.8142
2007-04-16,2446.1162
2007-04-17,2466.4128
2007-04-18,2484.3818
2007-04-19,2472.9202
2007-04-20,2463.1108
2007-04-23,2490.307
2007-04-24,2490.8896
2007-04-25,2493.4153
2007-04-26,2498.37
2007-04-27,2515.858
2007-04-30,2518.7732
2007-05-01,2522.2712
2007-05-02,2494.8726
2007-05-03,2496.9128
2007-05-04,2524.9915
2007-05-07,2538.2078
2007-05-08,2536.3613
2007-05-09,2527.2266
2007-05-10,2521.7852
2007-05-11,2528.7815
2007-05-14,2506.3362
2007-05-15,2528.1013
2007-05-16,2509.2512
2007-05-17,2497.5928
2007-05-18,2508.8625
2007-05-21,2512.5547
2007-05-22,2524.9915
2007-05-23,2543.553
2007-05-24,2555.799
2007-05-25,2540.8318
2007-05-29,2511.8743
2007-05-30,2525.089
2007-05-31,2520.425
2007-06-01,2562.5059
2007-06-04,2576.6016
2007-06-05,2568.9219
2007-06-06,2573.8792
2007-06-07,2562.6035
2007-06-08,2541.0261
2007-06-11,2505.7534
2007-06-12,2533.4463
2007-06-13,2524.506
2007-06-14,2522.66
2007-06-15,2547.5376
2007-06-18,2587.5872
2007-06-19,2593.421
2007-06-20,2582.726
2007-06-21,2594.2954
2007-06-22,2560.6592
2007-06-25,2573.1013
2007-06-26,2553.8555
2007-06-27,2552.4944
2007-06-28,2527.8098
2007-06-29,2568.9219
2007-07-02,2582.3372
2007-07-03,2579.9065
2007-07-05,2598.671
2007-07-06,2608.006
2007-07-09,2617.7305
2007-07-10,2630.0818
2007-07-11,2619.2864
2007-07-12,2599.06
2007-07-13,2624.052
2007-07-16,2657.3179
2007-07-17,2663.5442
2007-07-18,2662.2793
2007-07-19,2655.664
2007-07-20,2676.484
2007-07-23,2669.9653
2007-07-24,2658.777
2007-07-25,2634.6526
2007-07-26,2621.5232
2007-07-27,2583.2122
