Date,Predict
2007-01-02,3989.786
2007-01-03,3989.786
2007-01-04,4030.4185
2007-01-05,4049.6401
2007-01-08,4013.2117
2007-01-09,4006.497
2007-01-10,3957.5017
2007-01-11,3935.6116
2007-01-12,3878.0535
2007-01-15,3968.523
2007-01-16,4074.7046
2007-01-17,4111.8506
2007-01-18,4106.157
2007-01-19,4096.636
2007-01-22,4146.511
2007-01-23,4110.771
2007-01-24,4123.582
2007-01-25,4088.1963
2007-01-29,4113.176
2007-01-31,4168.513
2007-02-01,4144.3994
2007-02-02,4104.684
2007-02-05,4160.458
2007-02-06,4212.4893
2007-02-07,4235.494
2007-02-08,4217.4536
2007-02-09,4250.6875
2007-02-12,4242.3286
2007-02-13,4206.6406
2007-02-14,4090.65
2007-02-15,4066.9043
2007-02-19,4068.7686
2007-02-20,4169.348
2007-02-21,4184.676
2007-02-22,4128.0
2007-02-23,4117.691
2007-02-26,4067.9836
2007-02-27,3963.1836
2007-02-28,3971.952
2007-03-01,3918.4275
2007-03-02,3773.6763
2007-03-05,3838.4355
2007-03-06,3755.2126
2007-03-07,3609.4797
2007-03-08,3691.7983
2007-03-09,3658.3325
2007-03-12,3789.7507
2007-03-13,3746.373
2007-03-14,3763.76
2007-03-15,3796.152
2007-03-16,3675.5513
2007-03-19,3670.1365
2007-03-20,3642.7761
2007-03-21,3710.148
2007-03-22,3727.0864
2007-03-23,3792.3406
2007-03-26,3902.1287
2007-03-28,3889.1113
2007-03-29,3845.3794
2007-03-30,3787.112
2007-04-02,3816.142
2007-04-03,3846.6023
2007-04-04,3664.771
2007-04-05,3719.3245
2007-04-09,3763.7114
2007-04-10,3781.0046
2007-04-11,3870.2258
2007-04-12,3874.3354
2007-04-13,3887.5454
2007-04-16,3856.7256
2007-04-17,3944.9646
2007-04-18,4036.989
2007-04-19,4012.6729
2007-04-20,4021.3982
2007-04-23,4023.114
2007-04-24,4104.832
2007-04-25,4106.3535
2007-04-26,4154.614
2007-04-27,4189.785
2007-04-30,4201.5293
2007-05-03,4102.918
2007-05-04,4110.623
2007-05-07,4188.6553
2007-05-08,4138.163
2007-05-09,4132.026
2007-05-10,4098.6484
2007-05-11,4100.955
2007-05-14,4091.7292
2007-05-15,4100.1694
2007-05-16,4154.662
2007-05-17,4145.9214
2007-05-18,4191.8003
2007-05-21,4235.4453
2007-05-22,4236.576
2007-05-23,4281.281
2007-05-24,4297.5166
2007-05-25,4264.6553
2007-05-28,4217.109
2007-05-29,4266.77
2007-05-30,4275.87
2007-05-31,4310.409
2007-06-01,4268.638
2007-06-04,4313.707
2007-06-05,4318.284
2007-06-06,4286.9873
2007-06-07,4303.5693
2007-06-08,4216.864
2007-06-11,4199.0728
2007-06-12,4203.249
2007-06-13,4159.9673
2007-06-14,4175.1943
2007-06-15,4133.9414
2007-06-18,4205.854
2007-06-19,4196.6157
2007-06-20,4164.0435
2007-06-21,4233.282
2007-06-22,4267.065
2007-06-25,4285.6587
2007-06-26,4269.77
2007-06-27,4277.6396
2007-06-28,4304.0117
2007-06-29,4282.068
2007-07-02,4300.272
2007-07-03,4335.7095
2007-07-04,4332.411
2007-07-05,4374.956
2007-07-06,4375.892
2007-07-09,4369.8833
2007-07-10,4401.7563
2007-07-11,4434.924
2007-07-12,4419.841
2007-07-13,4404.318
2007-07-16,4461.843
2007-07-17,4520.5967
2007-07-18,4511.862
2007-07-19,4513.391
2007-07-20,4515.0693
2007-07-23,4577.665
2007-07-24,4578.1587
2007-07-25,4633.2925
2007-07-26,4633.738
2007-07-27,4606.6597
2007-07-30,4631.909
2007-07-31,4457.849
2007-08-01,4459.723
2007-08-02,4543.2017
2007-08-03,4373.084
2007-08-06,4372.493
2007-08-07,4420.0874
2007-08-08,4358.457
2007-08-09,4373.7246
2007-08-10,4477.4766
2007-08-13,4409.788
2007-08-14,4341.8633
2007-08-16,4390.3745
2007-08-17,4382.591
2007-08-20,4190.817
2007-08-21,4129.768
2007-08-22,4228.6113
2007-08-23,4102.5747
2007-08-24,4180.0083
2007-08-27,4133.7935
2007-08-28,4212.9316
2007-08-29,4319.9575
2007-08-30,4335.0205
2007-08-31,4377.025
2007-09-03,4428.516
2007-09-04,4481.817
2007-09-05,4496.517
2007-09-06,4494.5933
2007-09-07,4490.7456
2007-09-10,4533.132
2007-09-11,4521.4844
2007-09-12,4524.2485
2007-09-13,4513.391
2007-09-14,4512.7993
2007-09-17,4544.337
2007-09-18,4532.9346
2007-09-19,4508.9014
2007-09-20,4564.332
2007-09-21,4746.845
2007-09-24,4764.7627
2007-09-25,4848.1694
2007-09-26,4949.2744
2007-09-27,4947.786
2007-09-28,4952.8477
2007-10-01,5006.2046
2007-10-03,5031.084
2007-10-04,5078.2793
2007-10-05,5220.1772
2007-10-08,5216.6924
2007-10-09,5194.894
2007-10-10,5071.9683
2007-10-11,5336.2397
2007-10-12,5446.719
2007-10-15,5533.0054
2007-10-16,5436.1885
2007-10-17,5678.355
2007-10-18,5666.596
2007-10-19,5558.7886
2007-10-22,5368.347
2007-10-23,5211.317
2007-10-24,5193.9473
2007-10-25,5485.3584
2007-10-26,5506.7812
2007-10-29,5571.932
2007-10-30,5716.644
2007-10-31,5925.7896
2007-11-01,5876.982
2007-11-02,5911.992
2007-11-05,5862.8916
2007-11-06,5940.1914
2007-11-07,5855.119
2007-11-08,5790.2646
2007-11-09,5787.158
2007-11-12,5711.1875
