Date,Predict
2007-01-04,17377.75
2007-01-05,17377.75
2007-01-09,17370.785
2007-01-10,17074.096
2007-01-11,17247.627
2007-01-12,17013.791
2007-01-15,17034.945
2007-01-16,17215.451
2007-01-17,17246.105
2007-01-18,17208.451
2007-01-19,17303.361
2007-01-22,17395.639
2007-01-23,17485.21
2007-01-24,17405.574
2007-01-25,17560.678
2007-01-26,17660.059
2007-01-29,17423.324
2007-01-30,17448.477
2007-01-31,17565.371
2007-02-01,17549.19
2007-02-02,17432.309
2007-02-05,17624.584
2007-02-06,17586.799
2007-02-07,17439.783
2007-02-08,17423.184
2007-02-09,17423.623
2007-02-13,17394.818
2007-02-14,17537.117
2007-02-15,17717.81
2007-02-16,17947.066
2007-02-19,17884.512
2007-02-20,17890.873
2007-02-21,17975.2
2007-02-22,17952.432
2007-02-23,18089.293
2007-02-26,18169.77
2007-02-27,18276.172
2007-02-28,18295.764
2007-03-01,17899.363
2007-03-02,17597.63
2007-03-05,17406.664
2007-03-06,17047.65
2007-03-07,16710.27
2007-03-08,17037.514
2007-03-09,16785.14
2007-03-12,17279.885
2007-03-13,17367.387
2007-03-14,17323.94
2007-03-15,16991.418
2007-03-16,16859.287
2007-03-19,16834.793
2007-03-20,16769.355
2007-03-22,17210.55
2007-03-23,17438.9
2007-03-26,17574.889
2007-03-27,17573.299
2007-03-28,17412.527
2007-03-29,17383.373
2007-03-30,17175.148
2007-04-02,17374.098
2007-04-03,17401.514
2007-04-04,17209.98
2007-04-05,17455.97
2007-04-06,17562.83
2007-04-09,17558.264
2007-04-10,17661.49
2007-04-11,17686.506
2007-04-12,17754.953
2007-04-13,17657.107
2007-04-16,17684.504
2007-04-17,17562.55
2007-04-18,17806.297
2007-04-19,17612.814
2007-04-20,17585.387
2007-04-23,17526.902
2007-04-24,17645.053
2007-04-25,17419.11
2007-04-26,17434.797
2007-04-27,17415.107
2007-05-01,17432.316
2007-05-02,17451.59
2007-05-07,17365.994
2007-05-08,17619.588
2007-05-09,17706.977
2007-05-10,17672.053
2007-05-11,17849.174
2007-05-14,17671.49
2007-05-15,17738.285
2007-05-16,17632.572
2007-05-17,17542.352
2007-05-18,17641.771
2007-05-21,17618.95
2007-05-22,17510.879
2007-05-23,17633.742
2007-05-24,17818.793
2007-05-25,17735.99
2007-05-28,17584.658
2007-05-29,17600.383
2007-05-30,17580.205
2007-05-31,17719.895
2007-06-01,17771.354
2007-06-04,18005.838
2007-06-05,18124.023
2007-06-06,18075.828
2007-06-07,18057.203
2007-06-08,17934.816
2007-06-11,17960.525
2007-06-12,17954.855
2007-06-13,17900.979
2007-06-14,17687.355
2007-06-15,17890.521
2007-06-18,18001.752
2007-06-19,18183.646
2007-06-20,18187.834
2007-06-21,18229.395
2007-06-22,18173.518
2007-06-25,18234.227
2007-06-26,18163.877
2007-06-27,18154.512
2007-06-28,18037.74
2007-06-29,17971.494
2007-07-02,18066.521
2007-07-03,18195.297
2007-07-04,18262.885
2007-07-05,18215.066
2007-07-06,18248.256
2007-07-09,18240.992
2007-07-10,18282.506
2007-07-11,18301.162
2007-07-12,18172.873
2007-07-13,18162.086
2007-07-17,18217.32
2007-07-18,18325.885
2007-07-19,18192.312
2007-07-20,18152.125
2007-07-23,18204.879
2007-07-24,18051.705
2007-07-25,18054.76
2007-07-26,17866.68
2007-07-27,17862.934
2007-07-30,17509.918
2007-07-31,17193.73
2007-08-01,17373.258
2007-08-02,17224.402
2007-08-03,17011.553
2007-08-06,17075.006
2007-08-07,16836.453
2007-08-08,17064.84
2007-08-09,16985.621
2007-08-10,17225.562
2007-08-13,16978.443
2007-08-14,16847.104
2007-08-15,16879.914
2007-08-16,16714.486
2007-08-17,16352.341
2007-08-20,16091.9
2007-08-21,15535.646
2007-08-22,15831.146
2007-08-23,15923.594
2007-08-24,16150.195
2007-08-27,16341.969
2007-08-28,16484.719
2007-08-29,16270.192
2007-08-30,16124.537
2007-08-31,16238.261
2007-09-03,16326.977
2007-09-04,16566.66
2007-09-05,16501.414
2007-09-06,16561.707
2007-09-07,16060.482
2007-09-10,16235.956
2007-09-11,15963.393
