Date,Predict
2016-12-20,1016.9921
2016-12-21,1016.9921
2016-12-22,1019.1665
2016-12-23,1019.65106
2016-12-27,1022.0167
2016-12-28,1023.66974
2016-12-29,1026.8534
2016-12-30,1027.6825
2017-01-02,1031.5088
2017-01-03,1030.6177
2017-01-04,1046.8691
2017-01-05,1043.5564
2017-01-06,1039.2942
2017-01-09,1047.3627
2017-01-10,1049.4517
2017-01-11,1044.3947
2017-01-12,1040.5785
2017-01-13,1045.891
2017-01-16,1038.6138
2017-01-17,1051.1353
2017-01-18,1049.8594
2017-01-19,1045.9948
2017-01-20,1043.4354
2017-01-23,1045.8563
2017-01-24,1045.1643
2017-01-25,1040.1732
2017-01-26,1039.3633
2017-01-27,1050.6925
2017-01-30,1055.9618
2017-01-31,1062.4036
2017-02-01,1058.6295
2017-02-02,1059.9302
2017-02-03,1073.446
2017-02-06,1065.2574
2017-02-07,1069.6627
2017-02-08,1063.2347
2017-02-09,1062.8147
2017-02-10,1056.049
2017-02-13,1069.8384
2017-02-14,1074.2125
2017-02-15,1078.9169
2017-02-16,1079.8098
2017-02-17,1082.1642
2017-02-20,1083.8479
2017-02-21,1080.4644
2017-02-22,1075.5702
2017-02-23,1083.5907
2017-02-24,1082.0225
2017-02-27,1081.1813
2017-02-28,1070.7001
2017-03-01,1068.8192
2017-03-02,1069.5397
2017-03-03,1080.1459
2017-03-06,1080.0664
2017-03-07,1074.7765
2017-03-08,1070.5944
2017-03-09,1065.9939
2017-03-10,1066.7917
2017-03-13,1065.7484
2017-03-14,1074.2828
2017-03-15,1077.8387
2017-03-16,1079.014
2017-03-17,1080.5441
2017-03-20,1084.8767
2017-03-21,1082.7046
2017-03-22,1082.7931
2017-03-23,1069.3727
2017-03-24,1064.0139
2017-03-27,1073.2081
2017-03-28,1074.1508
2017-03-29,1071.8523
2017-03-30,1076.1084
2017-03-31,1076.329
2017-04-03,1080.482
2017-04-04,1082.3058
2017-04-05,1074.2388
2017-04-06,1084.38
2017-04-07,1084.7437
2017-04-10,1084.3267
2017-04-11,1080.9777
2017-04-12,1087.4341
2017-04-18,1086.8564
2017-04-19,1094.1665
2017-04-20,1080.951
2017-04-21,1087.8962
2017-04-24,1096.0059
2017-04-25,1092.5609
2017-04-26,1103.5189
2017-04-27,1108.7689
2017-04-28,1118.2234
2017-05-01,1122.812
2017-05-02,1128.2874
2017-05-03,1126.9941
2017-05-04,1137.0103
2017-05-05,1132.1089
2017-05-08,1135.4635
2017-05-09,1146.4226
2017-05-10,1144.9774
2017-05-11,1138.1003
2017-05-15,1147.3345
2017-05-16,1145.3824
2017-05-17,1149.6392
2017-05-18,1146.4319
2017-05-19,1125.4564
2017-05-22,1131.7256
2017-05-23,1139.0995
2017-05-24,1143.3038
2017-05-29,1144.4899
2017-05-30,1144.1404
2017-05-31,1138.4852
2017-06-01,1140.6406
2017-06-02,1150.0819
2017-06-06,1151.8821
2017-06-07,1160.5773
2017-06-08,1160.6516
2017-06-09,1156.6921
2017-06-12,1152.2979
2017-06-13,1159.4452
2017-06-14,1152.8246
2017-06-15,1164.2109
2017-06-16,1165.5323
2017-06-19,1153.518
2017-06-20,1159.473
2017-06-21,1174.6136
2017-06-22,1170.6227
2017-06-23,1168.5513
2017-06-26,1165.8676
2017-06-27,1164.4435
2017-06-28,1164.3132
2017-06-29,1151.6144
2017-06-30,1149.5376
2017-07-03,1137.1935
2017-07-04,1143.837
2017-07-05,1155.7568
2017-07-06,1152.9171
2017-07-07,1158.3138
2017-07-10,1149.5929
2017-07-11,1150.9865
2017-07-12,1158.0912
2017-07-13,1155.2384
2017-07-14,1165.3649
2017-07-17,1164.8342
2017-07-18,1170.5386
2017-07-19,1175.8304
2017-07-20,1173.4258
2017-07-21,1174.23
2017-07-24,1173.3416
2017-07-25,1165.9233
2017-07-26,1154.2485
2017-07-27,1160.8187
2017-07-28,1165.7837
2017-07-31,1169.1666
2017-08-01,1163.7179
2017-08-02,1167.3673
2017-08-03,1168.5045
2017-08-04,1164.062
2017-08-07,1159.204
2017-08-08,1168.1781
2017-08-09,1168.8029
2017-08-10,1160.3175
2017-08-11,1168.8683
2017-08-14,1159.2689
2017-08-15,1161.5988
2017-08-16,1165.8768
2017-08-17,1164.155
2017-08-18,1164.1458
2017-08-21,1152.529
2017-08-22,1150.3495
2017-08-23,1152.3718
2017-08-24,1166.063
2017-08-25,1158.9073
2017-08-28,1169.4932
2017-08-29,1166.9573
2017-08-30,1165.3275
2017-08-31,1155.1829
2017-09-01,1161.1157
2017-09-04,1173.0237
2017-09-05,1178.942
2017-09-06,1173.1544
2017-09-07,1165.7372
2017-09-08,1157.2942
2017-09-11,1163.6156
2017-09-12,1163.2625
2017-09-13,1172.2758
2017-09-14,1171.9021
2017-09-15,1169.3906
2017-09-18,1170.3145
2017-09-19,1149.307
2017-09-20,1157.7854
2017-09-21,1159.7142
2017-09-22,1163.7179
2017-09-25,1165.4298
2017-09-26,1167.6095
2017-09-27,1175.5588
2017-09-28,1165.3741
2017-09-29,1168.4579
2017-10-02,1175.4652
2017-10-03,1172.3412
2017-10-04,1182.7917
2017-10-05,1182.1996
2017-10-06,1184.8702
2017-10-09,1185.115
2017-10-10,1179.8615
2017-10-11,1181.0348
2017-10-12,1183.3652
2017-10-13,1189.563
2017-10-16,1188.1388
2017-10-17,1177.2919
2017-10-18,1179.9175
2017-10-19,1174.3236
2017-10-20,1183.7883
2017-10-23,1176.9824
2017-10-24,1180.1428
2017-10-25,1180.7249
2017-10-26,1172.5188
2017-10-27,1174.8289
2017-10-30,1178.8105
2017-10-31,1185.84
2017-11-01,1192.547
2017-11-02,1192.6604
2017-11-03,1193.6626
2017-11-06,1181.0066
2017-11-07,1168.8029
2017-11-08,1177.3386
2017-11-09,1167.768
2017-11-10,1172.7993
2017-11-13,1139.4387
2017-11-14,1135.7836
2017-11-15,1125.502
2017-11-16,1118.9933
2017-11-17,1120.1986
2017-11-20,1132.5747
2017-11-21,1129.5269
2017-11-22,1129.773
2017-11-23,1127.0488
2017-11-24,1126.6301
2017-11-27,1121.2781
2017-11-28,1116.9471
2017-11-29,1109.8857
2017-11-30,1126.1206
2017-12-01,1123.8384
2017-12-04,1131.1505
2017-12-05,1128.4149
2017-12-06,1122.5758
2017-12-07,1111.0936
2017-12-08,1114.9845
2017-12-11,1119.6094
2017-12-12,1131.2965
2017-12-13,1132.9858
2017-12-14,1134.4115
2017-12-15,1130.6395
2017-12-18,1133.3422
2017-12-19,1125.6293
2017-12-20,1140.0718
2017-12-21,1140.5212
2017-12-22,1136.8821
2017-12-27,1142.7341
2017-12-28,1146.3765
2017-12-29,1150.1096
2018-01-02,1146.008
2018-01-03,1146.2198
2018-01-04,1149.2794
2018-01-05,1152.6768
2018-01-08,1155.6365
2018-01-09,1164.1829
2018-01-10,1173.1357
2018-01-11,1175.2594
2018-01-12,1168.9708
2018-01-15,1156.5809
2018-01-16,1151.2266
2018-01-17,1150.5712
2018-01-18,1150.8663
2018-01-19,1157.3313
2018-01-22,1155.0255
2018-01-23,1161.5525
2018-01-24,1164.5459
2018-01-25,1163.9784
2018-01-26,1159.473
2018-01-29,1144.0485
2018-01-30,1150.2941
2018-01-31,1149.8145
2018-02-01,1141.9716
2018-02-02,1138.2744
2018-02-05,1125.4474
2018-02-06,1102.9087
2018-02-07,1095.2823
2018-02-08,1094.7913
2018-02-09,1102.8279
2018-02-12,1091.7766
2018-02-13,1097.9098
2018-02-14,1115.4004
2018-02-15,1108.6069
2018-02-16,1118.776
2018-02-19,1126.703
2018-02-20,1142.927
2018-02-21,1131.7256
2018-02-22,1134.0002
2018-02-23,1133.927
2018-02-26,1144.8579
2018-02-27,1153.749
2018-02-28,1161.153
2018-03-01,1147.3159
2018-03-02,1147.2975
2018-03-05,1133.936
2018-03-06,1119.537
2018-03-07,1125.4746
2018-03-08,1125.0928
2018-03-09,1130.3295
2018-03-12,1139.393
2018-03-13,1141.127
2018-03-14,1141.4391
2018-03-15,1134.6218
2018-03-16,1131.196
2018-03-19,1129.8368
2018-03-20,1131.4518
2018-03-21,1126.1388
2018-03-22,1126.6938
2018-03-23,1124.838
2018-03-26,1108.2288
2018-03-27,1114.5508
2018-03-28,1112.0406
2018-04-03,1110.8773
2018-04-04,1118.1057
2018-04-05,1114.1713
2018-04-06,1101.7787
2018-04-09,1111.6167
2018-04-10,1114.3611
2018-04-11,1117.4357
2018-04-12,1119.3738
2018-04-13,1107.8059
2018-04-16,1110.3545
2018-04-17,1106.9152
2018-04-18,1104.4346
2018-04-19,1115.1472
2018-04-20,1118.0966
2018-04-23,1114.9122
2018-04-24,1115.1019
2018-04-25,1118.504
2018-04-26,1117.2185
2018-04-30,1106.6722
2018-05-01,1118.1417
2018-05-02,1116.3408
2018-05-03,1119.8633
2018-05-04,1135.4268
2018-05-07,1134.4298
2018-05-08,1133.132
2018-05-09,1149.842
2018-05-14,1156.5717
2018-05-15,1157.4518
2018-05-16,1159.9834
2018-05-17,1144.3704
2018-05-18,1142.4309
2018-05-22,1143.6256
2018-05-23,1140.824
2018-05-24,1144.1038
2018-05-25,1140.7599
2018-05-28,1132.2186
2018-05-29,1136.5891
2018-05-30,1120.9515
2018-05-31,1109.1111
2018-06-01,1114.397
2018-06-04,1116.9108
2018-06-06,1132.8945
2018-06-07,1135.1157
2018-06-08,1128.251
2018-06-11,1120.4617
2018-06-12,1115.8524
2018-06-13,1122.4307
2018-06-14,1123.4386
2018-06-15,1126.0297
2018-06-18,1135.3628
2018-06-19,1135.5823
2018-06-20,1120.2985
2018-06-21,1114.8219
2018-06-22,1124.52
2018-06-25,1122.3761
2018-06-26,1126.7666
2018-06-27,1117.997
2018-06-28,1103.3843
2018-06-29,1104.7579
2018-07-02,1094.7913
2018-07-03,1101.2496
2018-07-04,1095.6128
2018-07-05,1103.6445
2018-07-06,1103.9497
2018-07-09,1099.4313
2018-07-10,1105.0902
2018-07-11,1114.4061
2018-07-12,1122.8029
2018-07-13,1120.2985
2018-07-16,1132.9309
2018-07-17,1132.5017
2018-07-18,1130.2383
2018-07-19,1140.0166
2018-07-20,1134.0002
2018-07-23,1138.357
2018-07-24,1146.5422
2018-07-25,1144.1038
2018-07-26,1152.4457
2018-07-27,1155.2384
2018-07-30,1168.9895
2018-07-31,1166.8734
2018-08-01,1163.5227
2018-08-02,1156.8126
2018-08-03,1158.0542
2018-08-06,1156.868
2018-08-07,1159.0277
2018-08-08,1152.9633
2018-08-09,1148.3203
2018-08-10,1133.0681
2018-08-13,1140.3835
2018-08-14,1135.3262
2018-08-15,1143.4509
2018-08-16,1143.975
2018-08-17,1131.5703
2018-08-20,1141.632
2018-08-21,1141.6962
2018-08-22,1148.6615
2018-08-23,1152.3718
2018-08-24,1158.4529
2018-08-27,1156.6086
2018-08-28,1162.4816
2018-08-29,1173.7341
2018-08-30,1174.5107
2018-08-31,1173.8182
2018-09-03,1175.4185
2018-09-04,1169.4186
2018-09-05,1166.5845
2018-09-06,1153.7676
2018-09-07,1137.8622
2018-09-10,1139.2645
2018-09-11,1137.0103
