Date,Predict
2007-01-02,1143.213
2007-01-03,1143.213
2007-01-04,1160.1489
2007-01-05,1154.3748
2007-01-08,1145.5321
2007-01-09,1143.1627
2007-01-10,1140.4131
2007-01-11,1139.0186
2007-01-12,1128.9554
2007-01-15,1156.0441
2007-01-16,1155.4607
2007-01-17,1169.9692
2007-01-18,1166.7042
2007-01-19,1172.0156
2007-01-22,1169.6868
2007-01-23,1176.726
2007-01-24,1177.5128
2007-01-25,1171.2393
2007-01-26,1174.0225
2007-01-29,1182.0251
2007-01-30,1173.4777
2007-01-31,1175.0209
2007-02-01,1186.5105
2007-02-02,1182.1869
2007-02-05,1187.9756
2007-02-06,1183.3077
2007-02-07,1188.9156
2007-02-08,1197.4021
2007-02-09,1202.4547
2007-02-12,1189.9064
2007-02-13,1197.5237
2007-02-14,1183.3381
2007-02-15,1186.3485
2007-02-16,1208.7579
2007-02-19,1217.0056
2007-02-20,1211.5974
2007-02-21,1218.1019
2007-02-22,1207.9773
2007-02-23,1203.7109
2007-02-26,1204.1869
2007-02-27,1214.9248
2007-02-28,1226.4321
2007-03-01,1179.2489
2007-03-02,1153.8318
2007-03-05,1147.139
2007-03-06,1155.5513
2007-03-07,1143.8756
2007-03-08,1144.5181
2007-03-09,1160.471
2007-03-12,1183.4594
2007-03-13,1185.1161
2007-03-14,1187.7936
2007-03-15,1171.8644
2007-03-16,1132.7423
2007-03-19,1162.7762
2007-03-20,1163.028
2007-03-21,1184.9644
2007-03-22,1192.576
2007-03-23,1201.0874
2007-03-26,1220.2546
2007-03-27,1218.508
2007-03-28,1202.6979
2007-03-29,1211.1815
2007-03-30,1197.5135
2007-04-02,1210.8265
2007-04-03,1210.9584
2007-04-04,1222.7026
2007-04-05,1242.6334
2007-04-10,1238.4167
2007-04-11,1239.1804
2007-04-12,1252.9928
2007-04-13,1246.3225
2007-04-16,1250.4219
2007-04-17,1260.9563
2007-04-18,1275.3842
2007-04-19,1276.0292
2007-04-20,1269.358
2007-04-23,1264.8901
2007-04-24,1280.0328
2007-04-25,1276.1931
2007-04-26,1258.3619
2007-04-27,1262.1821
2007-04-30,1272.478
2007-05-02,1262.0596
2007-05-03,1271.4855
2007-05-04,1265.3091
2007-05-07,1254.0338
2007-05-08,1261.6304
2007-05-09,1270.2478
2007-05-10,1237.5613
2007-05-11,1236.6552
2007-05-14,1218.3456
2007-05-15,1237.3578
2007-05-16,1251.6866
2007-05-18,1253.9214
2007-05-21,1256.6058
2007-05-22,1267.0162
2007-05-23,1260.7213
2007-05-24,1252.748
2007-05-25,1276.9507
2007-05-28,1270.7284
2007-05-29,1266.5869
2007-05-30,1272.7745
2007-05-31,1268.6013
2007-06-01,1258.6478
2007-06-04,1274.0332
2007-06-05,1290.1184
2007-06-07,1282.7372
2007-06-08,1278.8652
2007-06-11,1229.6348
2007-06-12,1235.8512
2007-06-13,1246.8425
2007-06-14,1234.3142
2007-06-15,1241.472
2007-06-18,1265.2478
2007-06-19,1273.7366
2007-06-20,1286.0885
2007-06-21,1274.3301
2007-06-25,1276.2852
2007-06-26,1250.0853
2007-06-27,1247.3116
2007-06-28,1241.5128
2007-06-29,1238.2029
2007-07-02,1255.248
2007-07-03,1252.105
2007-07-04,1251.7277
2007-07-05,1272.1608
2007-07-06,1277.2781
2007-07-09,1271.731
2007-07-10,1276.1418
2007-07-11,1291.38
2007-07-12,1282.9012
2007-07-13,1282.4915
2007-07-16,1305.8071
2007-07-17,1307.308
2007-07-18,1310.5057
2007-07-19,1298.5952
2007-07-20,1289.8414
2007-07-23,1301.3477
2007-07-24,1281.0468
2007-07-25,1291.298
2007-07-26,1272.5803
2007-07-27,1252.503
2007-07-30,1208.8594
2007-07-31,1212.0232
2007-08-01,1225.1514
2007-08-02,1240.9016
2007-08-03,1217.7262
2007-08-06,1232.7473
2007-08-07,1217.4015
2007-08-08,1200.247
2007-08-09,1213.1493
2007-08-10,1240.5146
2007-08-13,1206.4163
2007-08-14,1166.15
2007-08-15,1201.8773
2007-08-16,1190.0581
2007-08-17,1179.6323
2007-08-20,1141.3663
2007-08-21,1159.2332
2007-08-22,1172.3381
2007-08-23,1166.3213
2007-08-24,1188.2587
2007-08-27,1194.1539
2007-08-28,1206.2948
2007-08-29,1197.1187
2007-08-30,1166.9662
2007-08-31,1183.4897
2007-09-03,1197.473
2007-09-04,1209.7719
2007-09-05,1218.9752
2007-09-06,1222.8041
2007-09-07,1193.9719
2007-09-10,1186.9247
2007-09-11,1155.9536
2007-09-12,1143.1427
2007-09-13,1168.5078
2007-09-14,1176.7561
2007-09-17,1192.9503
2007-09-18,1175.9087
2007-09-19,1156.7583
2007-09-20,1175.1117
2007-09-21,1218.4269
2007-09-24,1204.7847
2007-09-25,1209.0621
2007-09-26,1194.842
2007-09-27,1180.6823
2007-09-28,1192.9807
2007-10-01,1213.829
2007-10-02,1218.1934
2007-10-03,1226.0764
2007-10-04,1232.7576
2007-10-05,1238.763
2007-10-08,1240.6674
2007-10-09,1255.003
2007-10-10,1248.9736
2007-10-11,1255.9116
2007-10-12,1257.7595
2007-10-15,1265.2169
2007-10-16,1257.6573
2007-10-17,1246.7917
2007-10-18,1200.3583
2007-10-19,1203.3054
2007-10-22,1183.5806
2007-10-23,1165.7572
2007-10-24,1141.8079
2007-10-25,1171.5015
2007-10-26,1154.8271
2007-10-29,1168.5681
2007-10-30,1169.4048
2007-10-31,1172.7417
2007-11-01,1166.422
2007-11-02,1179.38
2007-11-05,1164.5486
2007-11-06,1149.1884
2007-11-07,1153.5403
2007-11-08,1159.2332
2007-11-09,1146.3354
2007-11-12,1141.4266
2007-11-13,1110.9939
2007-11-14,1121.8988
2007-11-15,1116.1892
2007-11-16,1117.4686
2007-11-19,1098.5239
2007-11-20,1092.6467
2007-11-21,1061.9102
2007-11-22,1073.0245
2007-11-23,1055.3167
2007-11-26,1049.9365
2007-11-27,1052.2009
2007-11-28,1058.8501
2007-11-29,1054.8715
2007-11-30,1090.3273
2007-12-03,1095.0568
2007-12-04,1102.6312
2007-12-05,1098.3247
2007-12-06,1077.2637
2007-12-07,1097.8064
2007-12-10,1101.1554
2007-12-11,1115.5995
2007-12-12,1126.8025
2007-12-13,1127.4833
2007-12-14,1125.7815
2007-12-17,1098.0555
2007-12-18,1093.6423
2007-12-19,1064.0006
2007-12-20,1060.8008
2007-12-21,1060.6522
2007-12-27,1056.217
2007-12-28,1074.99
2008-01-02,1069.7605
2008-01-03,1077.4823
2008-01-04,1054.6143
2008-01-07,1046.9423
2008-01-08,1011.5018
2008-01-09,1008.41925
2008-01-10,1021.1232
2008-01-11,1000.7695
2008-01-14,987.0751
2008-01-15,985.3546
2008-01-16,1004.99524
2008-01-17,969.9435
2008-01-18,963.5927
2008-01-21,964.23517
2008-01-22,955.8104
2008-01-23,917.1838
2008-01-24,954.158
2008-01-25,920.59155
2008-01-28,956.7048
2008-01-29,959.75836
2008-01-30,947.5054
2008-01-31,955.1687
2008-02-01,949.5051
2008-02-04,947.4665
2008-02-05,974.1165
2008-02-06,974.14575
2008-02-07,944.158
2008-02-08,950.18494
2008-02-11,925.0257
2008-02-12,920.0895
2008-02-13,911.05
2008-02-14,943.9445
2008-02-15,947.47626
2008-02-18,949.21387
2008-02-19,937.5274
2008-02-20,960.18646
2008-02-21,965.3354
2008-02-22,952.7977
2008-02-25,957.9104
2008-02-26,942.7032
2008-02-27,959.94324
2008-02-28,977.6973
2008-02-29,983.7519
2008-03-03,968.90076
2008-03-04,963.2616
2008-03-05,952.4964
2008-03-06,930.673
2008-03-07,948.6411
2008-03-10,936.82996
2008-03-11,924.7067
2008-03-12,914.22205
2008-03-13,928.66095
2008-03-14,946.2535
2008-03-17,935.3287
2008-03-18,923.4313
2008-03-19,887.1721
2008-03-20,914.0967
2008-03-25,905.51056
2008-03-26,895.06464
2008-03-27,931.0406
2008-03-28,930.8277
2008-03-31,951.30164
2008-04-01,950.0586
2008-04-02,950.46655
2008-04-03,978.8003
2008-04-04,994.1285
2008-04-07,984.92456
2008-04-08,977.1801
2008-04-09,990.6348
2008-04-10,978.66376
2008-04-11,976.136
2008-04-14,967.74133
2008-04-15,954.73145
2008-04-16,946.84546
2008-04-17,948.5828
2008-04-18,975.6773
2008-04-21,961.80176
2008-04-22,979.0053
2008-04-23,967.0593
2008-04-24,960.4005
2008-04-25,974.2043
2008-04-28,964.91675
