Date,Predict
2011-11-02,4498.3027
2011-11-03,4498.3027
2011-11-04,4443.513
2011-11-08,4416.1943
2011-11-09,4454.2397
2011-11-10,4491.4624
2011-11-11,4502.8267
2011-11-14,4460.3257
2011-11-15,4482.337
2011-11-16,4512.637
2011-11-17,4521.795
2011-11-18,4503.5317
2011-11-21,4490.399
2011-11-22,4472.9927
2011-11-23,4459.0127
2011-11-24,4459.8086
2011-11-25,4448.032
2011-11-28,4424.842
2011-11-29,4441.441
2011-12-01,4414.9297
2011-12-02,4462.5547
2011-12-05,4463.152
2011-12-06,4467.047
2011-12-07,4462.8096
2011-12-08,4459.5854
2011-12-09,4487.8413
2011-12-12,4459.729
2011-12-13,4473.934
2011-12-14,4453.158
2011-12-15,4459.1323
2011-12-16,4461.225
2011-12-19,4458.662
2011-12-20,4475.936
2011-12-21,4487.6895
2011-12-22,4522.2207
2011-12-23,4524.6953
2011-12-26,4531.416
2011-12-27,4532.462
2011-12-28,4541.6304
2011-12-29,4519.635
2012-01-02,4501.2646
2012-01-03,4529.6147
2012-01-04,4551.2783
2012-01-05,4570.738
2012-01-06,4623.3677
2012-01-09,4647.77
2012-01-10,4619.832
2012-01-11,4668.4165
2012-01-12,4695.9033
2012-01-13,4751.9814
2012-01-16,4755.9897
2012-01-17,4721.182
2012-01-18,4700.335
2012-01-19,4750.994
2012-01-20,4780.769
2012-01-24,4802.3145
2012-01-25,4838.6646
2012-01-26,4811.4585
2012-01-27,4775.9897
2012-01-30,4728.473
2012-01-31,4782.2935
2012-02-01,4752.82
2012-02-02,4778.9204
2012-02-03,4811.986
2012-02-06,4882.802
2012-02-07,4868.008
2012-02-08,4895.9585
2012-02-09,4846.559
2012-02-10,4888.5874
2012-02-13,4856.531
2012-02-14,4879.1724
2012-02-15,4887.6665
2012-02-16,4865.5728
2012-02-17,4859.198
2012-02-20,4909.451
2012-02-21,4962.4814
2012-02-22,5004.1763
2012-02-23,4967.2256
2012-02-24,4996.9253
2012-02-27,4986.968
2012-02-28,4961.7485
2012-02-29,4879.9062
2012-03-01,4905.318
2012-03-02,4968.003
2012-03-05,5020.7188
2012-03-06,5067.041
2012-03-07,5087.0835
2012-03-08,5020.3667
2012-03-09,4989.3896
2012-03-12,5015.0234
2012-03-13,5038.647
2012-03-14,5033.3267
2012-03-15,5058.498
2012-03-16,5079.8857
2012-03-19,5087.8896
2012-03-20,5180.2153
2012-03-21,5166.1978
2012-03-22,5141.591
2012-03-23,5089.111
2012-03-26,5101.9043
2012-03-27,5089.813
2012-03-28,5078.978
2012-03-29,5120.8926
2012-03-30,5117.1
2012-04-02,5129.7197
2012-04-03,5146.5986
2012-04-04,5141.338
2012-04-10,5102.165
2012-04-11,5085.351
2012-04-12,5067.637
2012-04-13,5068.8823
2012-04-16,5100.854
2012-04-17,5137.501
2012-04-18,5154.9204
2012-04-19,5196.9946
2012-04-20,5219.3096
2012-04-23,5206.097
2012-04-24,5192.9746
2012-04-25,5191.518
2012-04-26,5212.454
2012-04-27,5238.753
2012-04-30,5242.848
2012-05-02,5214.364
2012-05-03,5233.866
2012-05-04,5256.8438
2012-05-07,5314.789
2012-05-08,5294.8003
2012-05-09,5253.2007
2012-05-10,5263.7524
2012-05-11,5240.1914
2012-05-14,5236.123
2012-05-15,5190.255
2012-05-16,5072.6353
2012-05-17,5046.928
2012-05-18,4936.8223
2012-05-21,5065.84
2012-05-22,4953.5127
2012-05-23,5013.9155
2012-05-24,4998.279
2012-05-25,4992.2314
2012-05-28,4981.416
2012-05-29,4989.1406
2012-05-30,5014.1904
2012-05-31,5102.651
2012-06-01,5071.503
2012-06-04,5103.1807
2012-06-05,5060.475
2012-06-06,4975.5264
2012-06-07,4994.9634
2012-06-08,5033.232
2012-06-11,5075.5767
2012-06-13,5050.6274
2012-06-14,5119.0483
2012-06-15,5148.266
2012-06-18,5085.966
2012-06-19,5050.1104
2012-06-20,5095.6133
2012-06-21,5123.39
2012-06-22,5180.4697
2012-06-25,5139.6196
2012-06-26,5179.111
2012-06-27,5199.2344
2012-06-28,5224.8667
2012-06-29,5296.302
2012-07-02,5278.6685
2012-07-03,5296.7812
2012-07-04,5316.214
2012-07-05,5375.5796
2012-07-06,5365.3667
2012-07-09,5379.04
2012-07-10,5362.7437
2012-07-11,5295.022
2012-07-12,5226.117
2012-07-13,5258.3467
2012-07-16,5231.5293
2012-07-17,5242.9976
2012-07-18,5312.9287
2012-07-19,5297.2876
2012-07-20,5242.91
2012-07-23,5210.686
2012-07-24,5236.8115
2012-07-25,5175.17
2012-07-26,5183.897
2012-07-27,5192.8433
2012-07-30,5185.8164
2012-07-31,5245.4175
2012-08-01,5297.1187
2012-08-02,5324.775
2012-08-03,5314.709
2012-08-06,5308.0176
2012-08-08,5304.14
2012-08-09,5301.1714
2012-08-10,5324.4355
2012-08-13,5274.7954
2012-08-14,5282.2954
2012-08-15,5290.4233
2012-08-16,5286.5
2012-08-17,5287.573
2012-08-22,5242.7773
2012-08-23,5230.8945
2012-08-24,5189.0093
2012-08-28,5207.6084
2012-08-29,5179.164
2012-08-30,5209.64
2012-08-31,5221.449
2012-09-03,5182.9937
2012-09-04,5227.6245
2012-09-05,5244.287
2012-09-06,5206.2373
2012-09-07,5184.3525
2012-09-10,5206.1846
2012-09-11,5229.211
2012-09-12,5226.699
2012-09-13,5218.658
2012-09-14,5234.2188
2012-09-17,5263.5664
2012-09-18,5371.269
2012-09-19,5362.4927
2012-09-20,5344.52
2012-09-21,5331.7646
2012-09-24,5317.2466
2012-09-25,5310.766
2012-09-26,5336.3506
2012-09-27,5331.3364
2012-09-28,5309.5386
2012-10-01,5325.0596
2012-10-02,5356.095
2012-10-03,5335.4497
2012-10-04,5365.5186
2012-10-05,5391.191
2012-10-08,5445.0166
2012-10-09,5441.647
2012-10-10,5439.2363
2012-10-11,5400.274
2012-10-12,5384.198
2012-10-15,5364.051
2012-10-16,5375.885
2012-10-17,5391.119
2012-10-18,5406.065
2012-10-19,5446.426
2012-10-22,5437.9727
2012-10-23,5434.669
2012-10-24,5427.246
2012-10-25,5428.211
2012-10-29,5408.638
2012-10-30,5409.8984
2012-10-31,5400.274
2012-11-05,5429.609
2012-11-06,5431.0425
2012-11-07,5459.482
2012-11-08,5466.108
2012-11-09,5439.002
2012-11-12,5446.949
2012-11-13,5465.4736
2012-11-14,5469.903
2012-11-15,5466.597
2012-11-16,5451.6587
2012-11-19,5418.9277
2012-11-20,5438.6313
2012-11-21,5454.272
2012-11-22,5500.836
2012-11-23,5530.8066
2012-11-26,5508.565
2012-11-27,5546.8066
2012-11-28,5568.4165
2012-11-29,5572.9775
2012-12-03,5618.356
2012-12-04,5608.1543
2012-12-05,5646.1206
2012-12-06,5683.5605
2012-12-07,5674.604
2012-12-10,5741.075
2012-12-11,5764.2583
2012-12-12,5734.4214
2012-12-13,5802.2085
2012-12-14,5792.562
2012-12-17,5760.016
2012-12-18,5686.258
2012-12-19,5609.4785
2012-12-20,5621.3296
2012-12-21,5727.353
2012-12-26,5770.445
2012-12-27,5797.3794
2012-12-28,5805.905
2013-01-02,5782.2695
2013-01-03,5782.335
2013-01-04,5830.5166
2013-01-07,5913.168
2013-01-08,5935.446
2013-01-09,6005.941
2013-01-10,6009.231
2013-01-11,6048.5264
2013-01-14,5993.904
2013-01-15,6024.3896
2013-01-16,6051.1387
2013-01-17,6045.021
2013-01-18,6013.1646
2013-01-21,6028.9614
2013-01-22,6119.519
2013-01-23,6126.104
2013-01-24,6061.6914
2013-01-25,6049.553
2013-01-28,6077.1934
2013-01-29,6122.2065
2013-01-30,6146.192
2013-01-31,6188.356
2013-02-01,6271.228
2013-02-04,6205.8867
2013-02-05,6299.0283
2013-02-06,6375.6694
2013-02-07,6427.8506
2013-02-08,6382.0474
2013-02-11,6409.6553
2013-02-12,6406.83
2013-02-13,6407.693
2013-02-14,6413.8003
2013-02-15,6476.491
2013-02-18,6443.062
2013-02-19,6469.8643
2013-02-20,6532.4233
2013-02-21,6592.7144
2013-02-22,6586.045
2013-02-25,6618.389
2013-02-26,6613.319
2013-02-27,6666.949
2013-02-28,6620.0737
2013-03-01,6610.789
2013-03-04,6674.3804
2013-03-05,6591.084
2013-03-06,6586.326
2013-03-07,6663.003
2013-03-08,6786.7627
2013-03-11,6721.1895
2013-03-12,6786.0474
2013-03-13,6798.707
2013-03-14,6763.0264
2013-03-15,6702.695
2013-03-18,6666.2715
2013-03-19,6615.2134
2013-03-20,6479.692
2013-03-21,6365.3535
2013-03-22,6405.2344
2013-03-25,6421.27
2013-03-26,6479.522
2013-03-27,6549.45
2013-04-01,6617.2495
2013-04-02,6826.121
2013-04-03,6788.9067
2013-04-04,6700.7266
2013-04-05,6766.983
2013-04-08,6734.0723
2013-04-10,6675.1187
2013-04-11,6709.8223
2013-04-12,6766.3813
2013-04-15,6784.1475
2013-04-16,6835.2505
2013-04-17,6788.263
2013-04-18,6746.632
2013-04-19,6802.4595
2013-04-22,6812.269
2013-04-23,6922.905
2013-04-24,7001.97
2013-04-25,6977.912
2013-04-26,6931.7793
