Date,Predict
2007-01-09,1898.9863
2007-01-10,1898.9863
2007-01-11,1788.7681
2007-01-12,1760.8798
2007-01-15,1790.1415
2007-01-16,1789.1343
2007-01-17,1841.7904
2007-01-18,1841.4849
2007-01-19,1804.9878
2007-01-22,1797.9558
2007-01-23,1810.9926
2007-01-24,1832.3508
2007-01-25,1849.3982
2007-01-26,1854.338
2007-01-29,1872.3591
2007-01-30,1855.774
2007-01-31,1828.0641
2007-02-01,1824.2971
2007-02-02,1835.3853
2007-02-05,1886.9604
2007-02-06,1889.1005
2007-02-07,1898.6705
2007-02-08,1917.2424
2007-02-09,1910.0048
2007-02-12,1876.8119
2007-02-13,1877.7388
2007-02-14,1829.7952
2007-02-15,1859.7773
2007-02-16,1882.3953
2007-02-19,1887.6638
2007-02-20,1890.1401
2007-02-21,1897.6819
2007-02-22,1886.2778
2007-02-26,1898.6501
2007-02-27,1930.078
2007-02-28,1962.8826
2007-03-01,1897.702
2007-03-02,1849.571
2007-03-05,1789.348
2007-03-06,1786.3773
2007-03-07,1728.3138
2007-03-09,1754.1997
2007-03-12,1763.0759
2007-03-13,1800.2251
2007-03-14,1803.1357
2007-03-15,1799.6248
2007-03-16,1770.479
2007-03-19,1800.1846
2007-03-20,1816.9677
2007-03-21,1838.6641
2007-03-22,1822.5056
2007-03-23,1843.1958
2007-03-26,1882.049
2007-03-27,1908.2003
2007-03-28,1916.3351
2007-03-29,1904.1338
2007-03-30,1919.088
2007-04-02,1934.9719
2007-04-03,1928.2325
2007-04-04,1921.2999
2007-04-05,1914.1434
2007-04-06,1923.2168
2007-04-09,1937.0825
2007-04-10,1940.4069
2007-04-11,1955.6724
2007-04-12,1973.194
2007-04-13,1977.9982
2007-04-16,1963.046
2007-04-17,1996.1753
2007-04-18,2001.6534
2007-04-19,1984.9851
2007-04-20,1958.171
2007-04-23,1922.3909
2007-04-24,1965.6772
2007-04-25,1967.9008
2007-04-26,1959.9252
2007-04-27,1972.8269
2007-04-28,1954.153
2007-05-02,1909.5156
2007-05-03,1925.215
2007-05-04,1905.0614
2007-05-07,1913.8478
2007-05-08,1923.461
2007-05-10,1920.729
2007-05-11,1906.376
2007-05-14,1883.8629
2007-05-15,1836.9631
2007-05-16,1842.7886
2007-05-17,1819.0848
2007-05-18,1849.4692
2007-05-21,1834.3158
2007-05-22,1852.2908
2007-05-23,1859.38
2007-05-24,1852.5352
2007-05-25,1804.143
2007-05-28,1780.9248
2007-05-29,1786.072
2007-05-30,1760.2594
2007-05-31,1726.0886
2007-06-01,1716.4285
2007-06-04,1770.7639
2007-06-05,1821.1514
2007-06-06,1818.4435
2007-06-07,1825.3562
2007-06-08,1814.1582
2007-06-09,1793.8755
2007-06-13,1780.9858
2007-06-14,1788.931
2007-06-15,1797.5082
2007-06-18,1862.5381
2007-06-19,1878.1874
2007-06-20,1888.5402
2007-06-21,1879.1552
2007-06-22,1907.9458
2007-06-25,1885.6357
2007-06-26,1887.0627
2007-06-27,1867.591
2007-06-28,1889.315
2007-06-29,1871.9006
2007-07-02,1886.8995
2007-07-03,1890.6394
2007-07-04,1904.5415
2007-07-05,1933.6978
2007-07-06,1936.9298
2007-07-09,1966.7891
2007-07-10,1968.7471
2007-07-11,1989.2386
2007-07-12,1971.4808
2007-07-13,1991.544
2007-07-16,2045.8401
2007-07-17,2057.0432
2007-07-18,2062.063
2007-07-19,2049.4727
2007-07-20,2032.0046
2007-07-23,2067.1953
2007-07-24,2065.5427
2007-07-25,2087.123
2007-07-26,2044.8298
2007-07-27,2044.646
2007-07-30,1988.086
2007-07-31,1961.5262
2007-08-01,1955.1218
2007-08-02,1978.0593
2007-08-03,1941.2737
2007-08-06,1952.5824
2007-08-07,1956.7839
2007-08-08,1940.6208
2007-08-09,1947.1676
2007-08-10,1982.4352
2007-08-13,1928.304
2007-08-14,1890.7312
2007-08-15,1920.7089
2007-08-16,1916.325
2007-08-17,1879.1144
2007-08-20,1810.6467
2007-08-21,1848.2167
2007-08-22,1843.7966
2007-08-23,1811.9087
2007-08-24,1847.0658
2007-08-27,1855.5193
2007-08-28,1857.2614
2007-08-29,1888.1732
2007-08-30,1866.1647
2007-08-31,1866.3888
2007-09-03,1873.8055
2007-09-04,1913.2667
2007-09-05,1918.2109
2007-09-06,1902.3602
2007-09-07,1897.8959
2007-09-10,1913.7562
2007-09-11,1890.4357
2007-09-12,1890.9148
2007-09-13,1905.0103
2007-09-14,1892.8817
2007-09-17,1926.1426
2007-09-18,1933.351
2007-09-19,1908.649
2007-09-20,1937.1338
2007-09-21,2010.2537
2007-09-24,2009.7635
2007-09-25,2021.3328
2007-09-26,2037.6674
2007-09-27,2005.8771
2007-09-28,2045.6155
2007-10-01,2059.9712
2007-10-02,2067.7668
2007-10-03,2044.7177
2007-10-04,2105.285
2007-10-05,2088.8472
2007-10-08,2086.4902
2007-10-09,2113.6516
2007-10-10,2127.3235
2007-10-11,2139.22
2007-10-12,2141.1174
2007-10-15,2170.722
2007-10-16,2160.9697
2007-10-17,2175.0266
2007-10-18,2155.1855
2007-10-19,2156.1343
2007-10-22,2133.7615
2007-10-23,2129.5884
2007-10-24,2096.4182
2007-10-25,2125.497
2007-10-26,2120.4978
2007-10-29,2149.422
2007-10-30,2194.2942
2007-10-31,2225.0916
2007-11-01,2205.0232
2007-11-02,2224.3064
2007-11-06,2219.0652
2007-11-07,2227.0999
2007-11-08,2268.8237
2007-11-09,2273.0632
2007-11-12,2288.4192
2007-11-13,2260.7515
2007-11-14,2241.5774
2007-11-15,2222.3386
2007-11-16,2243.0046
2007-11-19,2214.4358
2007-11-20,2187.9402
2007-11-21,2163.8364
2007-11-22,2178.3823
2007-11-23,2149.5952
2007-11-26,2133.2
2007-11-27,2150.1155
2007-11-28,2174.7412
2007-11-29,2152.8394
2007-11-30,2170.6814
2007-12-03,2179.2397
2007-12-04,2217.3623
2007-12-05,2199.6897
2007-12-06,2202.9429
2007-12-07,2262.0461
2007-12-10,2258.6826
2007-12-11,2286.514
2007-12-12,2332.9294
2007-12-13,2343.6497
2007-12-14,2361.391
2007-12-17,2318.0925
2007-12-18,2269.4453
2007-12-19,2249.6514
2007-12-20,2268.9968
2007-12-21,2265.165
2007-12-24,2283.722
2007-12-25,2296.9365
2007-12-26,2303.833
2007-12-27,2293.3914
2007-12-28,2283.3447
2008-01-09,2291.7915
2008-01-10,2301.2966
2008-01-11,2296.9468
2008-01-14,2304.2712
2008-01-15,2314.6504
2008-01-16,2341.0134
2008-01-17,2329.0195
2008-01-18,2224.2246
2008-01-21,2172.8337
2008-01-22,2156.8386
2008-01-23,1983.0166
2008-01-24,1961.5673
2008-01-25,1895.1643
2008-01-28,1985.6993
2008-01-29,2026.934
2008-01-30,1973.6324
2008-01-31,2004.418
2008-02-01,1975.6726
2008-02-04,1903.42
2008-02-05,1964.1577
2008-02-06,2007.5295
2008-02-07,1959.0072
2008-02-08,1940.4681
2008-02-11,1879.7157
2008-02-12,1862.9252
2008-02-13,1912.8184
2008-02-14,1975.03
2008-02-15,2002.4492
2008-02-18,2019.7003
2008-02-19,1984.3833
2008-02-20,2022.5776
2008-02-21,2042.0446
2008-02-22,2017.1805
2008-02-26,2061.2266
2008-02-27,2076.7256
2008-02-28,2095.3777
2008-02-29,2092.908
2008-03-03,2077.501
2008-03-04,2012.3346
2008-03-05,2027.9034
2008-03-06,2013.7732
2008-03-07,2039.4631
2008-03-11,2045.993
2008-03-12,2004.9282
2008-03-13,2056.2166
2008-03-14,2075.052
2008-03-17,2055.1553
2008-03-18,2058.6958
2008-03-19,1985.271
2008-03-20,2015.5686
2008-03-21,2006.7848
2008-03-24,1940.8044
2008-03-25,1958.4567
2008-03-26,1995.4817
2008-03-27,1988.3411
2008-03-28,1989.6058
2008-03-31,2025.2506
2008-04-01,2044.7177
2008-04-02,2049.5737
2008-04-03,2061.2366
2008-04-04,2065.5625
2008-04-07,2048.564
2008-04-08,2055.329
2008-04-09,2099.8567
2008-04-10,2086.1028
2008-04-11,2112.2537
2008-04-14,2130.17
2008-04-15,2104.2344
2008-04-16,2087.8472
2008-04-17,2110.5293
2008-04-18,2158.3992
2008-04-21,2148.5444
2008-04-22,2174.1086
2008-04-23,2170.2527
2008-04-24,2164.5403
2008-04-25,2156.7773
2008-04-28,2099.4282
2008-04-29,2126.4363
2008-04-30,2148.3916
2008-05-04,2123.467
2008-05-05,2119.498
2008-05-06,2138.4856
2008-05-07,2138.7302
2008-05-08,2151.1768
2008-05-12,2200.0566
2008-05-13,2291.0173
2008-05-14,2322.0442
2008-05-15,2340.7896
2008-05-16,2408.5386
2008-05-19,2414.4248
2008-05-20,2482.4106
2008-05-21,2491.6453
2008-05-22,2454.3484
2008-05-23,2471.9866
2008-05-26,2435.8901
2008-05-27,2434.0203
2008-05-28,2439.4363
2008-05-29,2391.719
2008-05-30,2400.8618
2008-06-02,2442.2808
2008-06-03,2463.1428
2008-06-04,2454.5208
2008-06-05,2430.311
2008-06-06,2353.453
2008-06-07,2359.7524
2008-06-09,2379.8079
2008-06-10,2343.9758
2008-06-11,2359.3352
2008-06-16,2340.7488
2008-06-17,2358.0017
2008-06-18,2368.0159
2008-06-19,2401.9902
2008-06-20,2405.061
2008-06-23,2402.3667
2008-06-24,2385.8806
2008-06-25,2343.6604
2008-06-26,2309.5376
2008-06-27,2311.4524
2008-06-30,2308.59
