Date,Predict
2007-01-03,1415.1035
2007-01-04,1415.1035
2007-01-05,1413.7034
2007-01-08,1415.407
2007-01-09,1406.5188
2007-01-10,1410.0226
2007-01-11,1405.9705
2007-01-12,1411.9805
2007-01-16,1420.7731
2007-01-17,1427.5415
2007-01-18,1428.5604
2007-01-19,1427.4044
2007-01-22,1423.2511
2007-01-23,1427.2869
2007-01-24,1419.921
2007-01-25,1424.8281
2007-01-26,1436.7429
2007-01-29,1420.8516
2007-01-30,1419.0204
2007-01-31,1417.6298
2007-02-01,1425.504
2007-02-02,1434.567
2007-02-05,1442.4476
2007-02-06,1444.7908
2007-02-07,1443.467
2007-02-08,1443.8889
2007-02-09,1446.4183
2007-02-12,1444.7124
2007-02-13,1434.665
2007-02-14,1429.9812
2007-02-15,1440.4576
2007-02-16,1451.4786
2007-02-20,1453.0676
2007-02-21,1451.8513
2007-02-22,1455.8434
2007-02-23,1453.5778
2007-02-26,1452.528
2007-02-27,1447.448
2007-02-28,1445.6929
2007-03-01,1396.1277
2007-03-02,1404.1112
2007-03-05,1400.5494
2007-03-06,1384.852
2007-03-07,1372.0974
2007-03-08,1392.5869
2007-03-09,1389.516
2007-03-12,1399.307
2007-03-13,1400.1973
2007-03-14,1403.5533
2007-03-15,1375.8105
2007-03-16,1384.852
2007-03-19,1389.9071
2007-03-20,1384.6956
2007-03-21,1399.4537
2007-03-22,1408.1434
2007-03-23,1431.7645
2007-03-26,1431.2745
2007-03-27,1432.813
2007-03-28,1434.1652
2007-03-29,1425.2101
2007-03-30,1414.2615
2007-04-02,1419.5001
2007-04-03,1417.8451
2007-04-04,1421.214
2007-04-05,1434.42
2007-04-09,1435.586
2007-04-10,1440.3204
2007-04-11,1441.1144
2007-04-12,1444.6927
2007-04-13,1435.5177
2007-04-16,1444.2714
2007-04-17,1449.2133
2007-04-18,1464.5465
2007-04-19,1467.4907
2007-04-20,1468.4822
2007-04-23,1466.7252
2007-04-24,1480.1166
2007-04-25,1476.7778
2007-04-26,1476.1396
2007-04-27,1490.8633
2007-04-30,1489.8219
2007-05-01,1489.6842
2007-05-02,1478.1919
2007-05-03,1481.8845
2007-05-04,1491.1482
2007-05-07,1497.8209
2007-05-08,1500.986
2007-05-09,1504.712
2007-05-10,1502.7064
2007-05-11,1507.6323
2007-05-14,1487.1299
2007-05-15,1501.1729
2007-05-16,1498.568
2007-05-17,1496.2483
2007-05-18,1509.2844
2007-05-21,1508.0355
2007-05-22,1517.8809
2007-05-23,1520.1927
2007-05-24,1519.1991
2007-05-25,1517.2415
2007-05-29,1502.8834
2007-05-30,1510.799
2007-05-31,1512.815
2007-06-01,1525.2014
2007-06-04,1525.6246
2007-06-05,1531.1952
2007-06-06,1533.9912
2007-06-07,1525.5752
2007-06-08,1512.5789
2007-06-11,1486.3833
2007-06-12,1503.0211
2007-06-13,1504.4761
2007-06-14,1488.2892
2007-06-15,1510.8282
2007-06-18,1518.0973
2007-06-19,1527.8685
2007-06-20,1526.0182
2007-06-21,1528.6362
2007-06-22,1507.7994
2007-06-25,1517.3297
2007-06-26,1498.0275
2007-06-27,1493.2314
2007-06-28,1488.2596
2007-06-29,1501.7234
2007-07-02,1501.1139
2007-07-03,1500.0914
2007-07-05,1514.3102
2007-07-06,1519.9567
2007-07-09,1520.055
2007-07-10,1525.4376
2007-07-11,1526.835
2007-07-12,1505.2723
2007-07-13,1513.9364
2007-07-16,1542.4199
2007-07-17,1547.1675
2007-07-18,1544.232
2007-07-19,1543.9169
2007-07-20,1540.8933
2007-07-23,1547.8472
2007-07-24,1529.0103
2007-07-25,1536.4031
2007-07-26,1506.3541
2007-07-27,1513.2969
2007-07-30,1478.2607
2007-07-31,1455.1863
2007-08-01,1469.8759
