Date,Predict
2007-01-02,5629.261
2007-01-03,5629.261
2007-01-04,5638.29
2007-01-05,5590.7725
2007-01-08,5536.4434
2007-01-09,5517.5596
2007-01-10,5474.249
2007-01-11,5539.5425
2007-01-12,5489.609
2007-01-15,5534.6445
2007-01-16,5599.2876
2007-01-17,5628.458
2007-01-18,5622.04
2007-01-19,5611.7144
2007-01-22,5625.9517
2007-01-23,5645.113
2007-01-24,5680.059
2007-01-25,5706.9023
2007-01-29,5738.7026
2007-01-30,5729.642
2007-01-31,5713.4404
2007-02-01,5776.5884
2007-02-02,5738.4004
2007-02-05,5785.966
2007-02-06,5785.159
2007-02-07,5786.0674
2007-02-08,5860.0845
2007-02-09,5860.4893
2007-02-12,5863.8267
2007-02-13,5880.009
2007-02-14,5880.009
2007-02-15,5906.5254
2007-02-16,5928.607
2007-02-19,5952.5293
2007-02-20,5915.7417
2007-02-21,5954.557
2007-02-22,5940.667
2007-02-23,5912.1973
2007-02-26,5979.3086
2007-02-27,5996.464
2007-02-28,6003.369
2007-03-01,5951.9204
2007-03-02,5798.1724
2007-03-05,5761.9727
2007-03-06,5729.038
2007-03-07,5613.719
2007-03-08,5734.978
2007-03-09,5777.596
2007-03-12,5784.9575
2007-03-13,5785.4614
2007-03-14,5851.3916
2007-03-15,5794.742
2007-03-16,5726.723
2007-03-19,5819.6704
2007-03-20,5795.851
2007-03-21,5829.3647
2007-03-22,5840.983
2007-03-23,5836.9414
2007-03-26,5913.0073
2007-03-27,5917.6665
2007-03-28,5945.5317
2007-03-29,5917.6665
2007-03-30,5877.682
2007-04-02,5927.1885
2007-04-03,5953.3394
2007-04-04,5888.407
2007-04-05,5987.429
2007-04-10,6054.694
2007-04-11,6043.9146
2007-04-12,6122.6006
2007-04-13,6109.66
2007-04-16,6129.6323
2007-04-17,6108.438
2007-04-18,6165.222
2007-04-19,6155.225
2007-04-20,6192.678
2007-04-23,6131.162
2007-04-24,6181.6523
2007-04-26,6173.0796
2007-04-27,6158.2856
2007-04-30,6164.7124
2007-05-01,6119.3394
2007-05-02,6125.352
2007-05-03,6117.1997
2007-05-04,6208.406
2007-05-07,6219.847
2007-05-08,6285.4995
2007-05-09,6306.384
2007-05-10,6262.8867
2007-05-11,6316.5225
2007-05-14,6300.5474
2007-05-15,6272.81
2007-05-16,6297.1685
2007-05-17,6263.706
2007-05-18,6268.3086
2007-05-21,6318.4688
2007-05-22,6284.169
2007-05-23,6335.066
2007-05-24,6296.5537
2007-05-25,6317.342
2007-05-28,6237.3228
2007-05-29,6228.737
2007-05-30,6215.556
2007-05-31,6282.429
2007-06-01,6225.058
2007-06-04,6286.523
2007-06-05,6312.528
2007-06-06,6360.7944
2007-06-07,6335.4756
2007-06-08,6283.9644
2007-06-12,6265.0347
2007-06-13,6213.206
2007-06-14,6187.676
2007-06-15,6175.9365
2007-06-18,6236.914
2007-06-19,6269.127
2007-06-20,6305.7686
2007-06-21,6334.349
2007-06-22,6360.7944
2007-06-25,6358.6416
2007-06-26,6345.724
2007-06-27,6295.633
2007-06-28,6265.137
2007-06-29,6162.979
2007-07-02,6235.789
2007-07-03,6246.626
2007-07-04,6246.7285
2007-07-05,6271.582
2007-07-06,6265.649
2007-07-09,6328.3027
2007-07-10,6319.2886
2007-07-11,6370.1265
2007-07-12,6324.3076
2007-07-13,6301.776
2007-07-16,6357.3086
2007-07-17,6357.206
2007-07-18,6352.593
2007-07-19,6338.8584
2007-07-20,6299.421
2007-07-23,6354.1304
2007-07-24,6380.589
2007-07-25,6365.922
2007-07-26,6363.358
2007-07-27,6310.48
2007-07-30,6218.008
2007-07-31,6042.186
2007-08-01,6082.065
2007-08-02,6100.29
2007-08-03,5928.1006
2007-08-06,5986.5156
2007-08-07,5975.7573
2007-08-08,5901.6655
2007-08-09,5958.41
2007-08-10,6076.263
2007-08-13,6071.9893
2007-08-14,5903.894
2007-08-15,5972.1045
2007-08-16,5892.1514
2007-08-17,5740.415
2007-08-20,5673.2275
2007-08-21,5632.47
2007-08-22,5888.0024
2007-08-23,5943.2017
2007-08-24,5975.7573
2007-08-27,6105.4844
2007-08-28,6082.472
2007-08-29,6141.051
2007-08-30,6102.3267
2007-08-31,6088.8857
2007-09-03,6128.0015
2007-09-04,6217.701
2007-09-05,6227.818
2007-09-06,6269.0244
2007-09-07,6210.346
2007-09-10,6230.168
2007-09-11,6199.519
2007-09-12,6156.1436
2007-09-13,6223.525
2007-09-14,6192.474
2007-09-17,6200.337
2007-09-18,6261.8643
2007-09-19,6224.854
2007-09-20,6201.459
2007-09-21,6350.85
2007-09-24,6353.7207
2007-09-25,6327.4834
2007-09-26,6425.2363
2007-09-27,6425.134
2007-09-28,6457.2886
2007-10-01,6519.092
2007-10-02,6539.6772
2007-10-03,6571.087
2007-10-04,6616.848
2007-10-05,6614.579
2007-10-08,6546.4727
2007-10-09,6590.8706
2007-10-10,6609.011
2007-10-11,6673.383
2007-10-12,6714.276
2007-10-15,6745.7915
2007-10-16,6739.797
2007-10-17,6701.1577
2007-10-18,6669.565
2007-10-19,6673.177
2007-10-22,6743.1035
2007-10-23,6635.72
2007-10-24,6544.928
2007-10-25,6654.7036
2007-10-26,6601.693
2007-10-29,6614.4766
2007-10-30,6704.153
2007-10-31,6773.809
2007-11-01,6708.904
2007-11-02,6757.162
2007-11-05,6761.091
2007-11-06,6679.68
2007-11-07,6551.312
2007-11-08,6608.4966
2007-11-09,6613.033
2007-11-12,6492.037
2007-11-13,6500.47
2007-11-14,6421.0264
2007-11-15,6508.6997
