Date,Predict
2007-01-02,12908.379
2007-01-03,12908.379
2007-01-04,12903.01
2007-01-05,12661.563
2007-01-08,12499.997
2007-01-09,12540.595
2007-01-10,12479.151
2007-01-11,12443.716
2007-01-12,12437.498
2007-01-15,12547.46
2007-01-16,12697.19
2007-01-17,12690.688
2007-01-18,12688.199
2007-01-19,12745.159
2007-01-22,12621.013
2007-01-23,12762.134
2007-01-24,12748.253
2007-01-25,12859.214
2007-01-26,13023.301
2007-01-29,12960.556
2007-01-30,12973.168
2007-01-31,12936.028
2007-02-01,12951.28
2007-02-02,13076.476
2007-02-05,13164.675
2007-02-06,13131.439
2007-02-07,13191.473
2007-02-08,13198.121
2007-02-09,13125.361
2007-02-12,13164.503
2007-02-13,13086.45
2007-02-14,13053.565
2007-02-15,13197.074
2007-02-16,13205.95
2007-02-19,13299.446
2007-02-20,13303.433
2007-02-21,13208.401
2007-02-22,13298.794
2007-02-23,13363.87
2007-02-26,13355.313
2007-02-27,13397.475
2007-02-28,13247.697
2007-03-01,13034.173
2007-03-02,12903.756
2007-03-05,12914.149
2007-03-06,12673.916
2007-03-07,12814.784
2007-03-08,12875.493
2007-03-09,13015.526
2007-03-12,13035.955
2007-03-13,13017.542
2007-03-14,13027.277
2007-03-15,12758.997
2007-03-16,12843.121
2007-03-19,12856.957
2007-03-20,12878.328
2007-03-21,12997.266
2007-03-22,12969.48
2007-03-23,13177.771
2007-03-26,13138.992
2007-03-27,13295.421
2007-03-28,13242.525
2007-03-29,13204.1
2007-03-30,13263.938
2007-04-02,13216.966
2007-04-03,13172.457
2007-04-04,13263.765
2007-04-05,13358.407
2007-04-09,13437.509
2007-04-10,13451.924
2007-04-11,13512.369
2007-04-12,13439.975
2007-04-13,13387.655
2007-04-16,13503.416
2007-04-17,13595.788
2007-04-18,13711.419
2007-04-19,13609.047
2007-04-20,13578.038
2007-04-23,13664.017
2007-04-24,13636.163
2007-04-25,13603.654
2007-04-26,13606.325
2007-04-27,13625.628
2007-04-30,13518.907
2007-05-01,13613.546
2007-05-02,13422.035
2007-05-03,13375.98
2007-05-04,13637.006
2007-05-07,13729.236
2007-05-08,13847.523
2007-05-09,13860.7295
2007-05-10,13895.632
2007-05-11,13879.479
2007-05-14,13855.841
2007-05-15,13988.101
2007-05-16,13919.456
2007-05-17,13933.75
2007-05-18,14020.287
2007-05-22,14126.115
2007-05-23,14143.016
2007-05-24,14189.393
2007-05-25,14159.516
2007-05-28,13997.306
2007-05-29,14051.697
2007-05-30,14084.594
2007-05-31,13933.43
2007-06-01,14097.331
2007-06-04,14096.573
2007-06-05,14054.853
2007-06-06,14147.072
2007-06-07,14107.061
2007-06-08,13930.283
2007-06-11,13647.502
2007-06-12,13829.066
2007-06-13,13776.89
2007-06-14,13775.074
2007-06-15,13868.397
2007-06-18,14026.863
2007-06-19,14170.424
2007-06-20,14176.107
2007-06-21,14153.398
2007-06-22,14052.203
2007-06-25,14088.634
2007-06-26,13938.232
2007-06-27,13865.482
2007-06-28,13614.963
2007-06-29,13786.038
2007-07-03,13847.08
2007-07-04,14010.246
2007-07-05,14060.874
2007-07-06,14105.542
2007-07-09,14066.886
2007-07-10,14174.399
2007-07-11,14171.757
2007-07-12,14140.134
2007-07-13,14227.971
2007-07-16,14394.198
2007-07-17,14488.956
2007-07-18,14395.13
2007-07-19,14393.393
2007-07-20,14619.23
2007-07-23,14643.199
2007-07-24,14575.138
2007-07-25,14389.406
2007-07-26,14129.983
2007-07-27,14037.093
2007-07-30,13815.811
2007-07-31,13841.884
2007-08-01,13999.151
2007-08-02,13752.186
2007-08-03,13769.535
2007-08-07,13806.974
2007-08-08,13565.622
2007-08-09,13683.328
2007-08-10,13553.216
2007-08-13,13391.8955
2007-08-14,13592.154
2007-08-15,13494.595
2007-08-16,13131.633
2007-08-17,12817.16
2007-08-20,13148.485
2007-08-21,13103.508
2007-08-22,13134.811
2007-08-23,13374.54
2007-08-24,13533.435
2007-08-27,13486.615
2007-08-28,13472.956
2007-08-29,13411.343
2007-08-30,13301.219
2007-08-31,13417.436
2007-09-04,13586.034
2007-09-05,13671.785
2007-09-06,13686.548
2007-09-07,13739.562
2007-09-10,13659.091
2007-09-11,13643.0
2007-09-12,13629.575
2007-09-13,13688.144
2007-09-14,13789.0205
2007-09-17,13812.837
2007-09-18,13834.995
2007-09-19,13810.545
2007-09-20,14020.173
2007-09-21,13948.204
2007-09-24,13970.381
2007-09-25,13968.061
2007-09-26,13893.904
2007-09-27,14072.504
2007-09-28,14143.848
2007-10-01,14152.472
2007-10-02,14126.303
2007-10-03,14155.7295
2007-10-04,14159.641
2007-10-05,14070.364
2007-10-09,14187.05
2007-10-10,14305.02
2007-10-11,14287.806
2007-10-12,14380.59
2007-10-15,14286.989
2007-10-16,14381.865
2007-10-17,14222.499
2007-10-18,14269.525
2007-10-19,14208.245
2007-10-22,14249.987
2007-10-23,13879.064
2007-10-24,14040.363
2007-10-25,14076.689
2007-10-26,14167.831
2007-10-29,14169.394
2007-10-30,14375.309
2007-10-31,14380.432
2007-11-01,14409.317
2007-11-02,14515.391
2007-11-05,14454.506
2007-11-06,14231.399
2007-11-07,14410.344
2007-11-08,14365.447
2007-11-09,14181.469
2007-11-12,13980.773
2007-11-13,13821.55
2007-11-14,13743.033
2007-11-15,13877.401
2007-11-16,13690.747
2007-11-19,13560.193
2007-11-20,13515.055
2007-11-21,13384.785
2007-11-22,13361.0625
2007-11-23,13279.778
2007-11-26,13394.357
2007-11-27,13494.614
2007-11-28,13257.248
2007-11-29,13413.938
2007-11-30,13635.515
2007-12-03,13704.264
2007-12-04,13669.582
2007-12-05,13662.312
2007-12-06,13660.14
2007-12-07,13754.134
2007-12-10,13901.929
2007-12-11,13921.547
2007-12-12,13970.857
2007-12-13,13911.666
2007-12-14,13675.29
2007-12-17,13687.825
2007-12-18,13583.693
2007-12-19,13528.8
2007-12-20,13359.449
2007-12-21,13449.191
2007-12-24,13338.791
2007-12-27,13604.732
2007-12-28,13685.016
2007-12-31,13694.031
2008-01-02,13818.71
2008-01-03,13913.249
2008-01-04,13912.266
2008-01-07,13879.365
2008-01-08,13783.222
2008-01-09,13749.362
2008-01-10,13522.517
2008-01-11,13494.777
2008-01-14,13582.679
2008-01-15,13729.196
2008-01-16,13576.345
2008-01-17,13164.715
2008-01-18,13141.5205
2008-01-21,12881.453
2008-01-22,12232.904
2008-01-23,11970.179
2008-01-24,12398.189
2008-01-25,12919.954
2008-01-28,13158.245
2008-01-29,12875.051
2008-01-30,13022.904
2008-01-31,13017.996
2008-02-01,12870.947
2008-02-04,13189.998
2008-02-05,13328.131
2008-02-06,13156.0205
2008-02-07,13050.243
2008-02-08,12815.369
2008-02-11,12874.144
2008-02-12,13037.169
2008-02-13,13128.283
2008-02-14,13127.847
2008-02-15,13340.934
2008-02-19,13211.574
2008-02-20,13390.566
2008-02-21,13329.161
2008-02-22,13667.926
2008-02-25,13559.413
2008-02-26,13554.96
2008-02-27,13636.955
2008-02-28,13741.879
2008-02-29,13774.816
2008-03-03,13806.189
2008-03-04,13619.113
2008-03-05,13520.056
2008-03-06,13561.035
2008-03-07,13613.577
