Date,Predict
2007-01-03,691.2005
2007-01-04,691.2005
2007-01-05,672.87823
2007-01-08,659.29175
2007-01-09,641.3894
2007-01-10,648.78705
2007-01-11,626.60706
2007-01-12,641.64636
2007-01-15,662.1254
2007-01-16,663.57605
2007-01-17,672.3526
2007-01-18,669.5247
2007-01-19,668.42633
2007-01-22,670.02136
2007-01-23,674.49347
2007-01-24,666.2013
2007-01-25,671.17737
2007-01-26,675.06696
2007-01-29,672.72534
2007-01-30,673.40393
2007-01-31,668.1302
2007-02-01,669.61066
2007-02-02,670.5469
2007-02-05,674.18756
2007-02-06,687.6858
2007-02-07,691.01855
2007-02-08,689.78296
2007-02-09,690.3864
2007-02-12,707.8956
2007-02-13,708.2508
2007-02-14,711.38104
2007-02-15,708.9708
2007-02-16,710.9297
2007-02-19,706.94525
2007-02-20,698.743
2007-02-21,699.7594
2007-02-22,704.3638
2007-02-23,706.27344
2007-02-26,707.92444
2007-02-27,705.13153
2007-02-28,701.70636
2007-03-01,681.5412
2007-03-02,692.3884
2007-03-06,694.1323
2007-03-07,692.3119
2007-03-08,690.3001
2007-03-09,685.55096
2007-03-12,686.49866
2007-03-13,686.3646
2007-03-14,686.805
2007-03-15,685.23505
2007-03-16,686.0678
2007-03-19,687.2741
2007-03-20,685.1584
2007-03-21,686.5752
2007-03-22,685.8285
2007-03-23,686.6805
2007-03-26,689.5818
2007-03-27,692.07227
2007-03-28,693.5478
2007-03-29,693.04
2007-03-30,681.3116
2007-04-02,685.33075
2007-04-03,688.9402
2007-04-04,693.29865
2007-04-05,703.8073
2007-04-09,706.9262
2007-04-10,706.1391
2007-04-11,701.4378
2007-04-12,702.8191
2007-04-17,707.3005
2007-04-18,706.10077
2007-04-19,707.9148
2007-04-20,704.3926
2007-04-23,701.14044
2007-04-24,702.5026
2007-04-25,699.7115
2007-04-26,699.8361
2007-04-27,706.00476
2007-04-30,705.3905
2007-05-02,708.222
2007-05-03,712.8313
2007-05-04,720.4616
2007-05-08,724.66425
2007-05-09,729.31177
2007-05-10,727.6853
2007-05-11,719.308
2007-05-14,717.8085
2007-05-15,722.71173
2007-05-16,725.8091
2007-05-17,727.1657
2007-05-18,737.53564
2007-05-21,740.76385
2007-05-22,743.6752
2007-05-23,741.5928
2007-05-24,746.2595
2007-05-25,742.6436
2007-05-28,729.793
2007-05-29,732.84485
2007-05-30,740.0795
2007-06-01,738.2775
2007-06-04,753.47675
2007-06-05,768.0071
2007-06-06,783.24963
2007-06-07,770.01855
2007-06-08,768.0749
2007-06-11,761.6278
2007-06-12,762.9129
2007-06-13,764.55597
2007-06-14,751.8939
2007-06-15,744.0511
2007-06-18,749.3464
2007-06-19,768.394
2007-06-20,777.0237
2007-06-21,776.3074
2007-06-22,785.1387
2007-06-25,788.7532
2007-06-26,782.068
2007-06-27,776.92676
2007-06-28,777.2366
2007-06-29,782.8912
2007-07-02,789.67377
2007-07-03,789.87744
2007-07-04,806.5656
2007-07-05,823.55664
2007-07-06,836.5442
2007-07-09,832.0929
2007-07-10,849.76416
2007-07-11,852.2522
2007-07-12,858.5971
2007-07-13,859.8567
2007-07-16,855.5704
2007-07-17,868.1416
2007-07-18,864.63336
2007-07-19,863.31445
2007-07-20,855.9903
2007-07-23,858.53845
2007-07-24,851.3349
2007-07-25,878.15497
2007-07-26,883.88
2007-07-27,895.3199
2007-07-31,873.7143
2007-08-01,875.46497
2007-08-02,863.9494
2007-08-03,851.38367
2007-08-06,844.3998
2007-08-07,828.4517
2007-08-08,831.32367
2007-08-09,825.0744
2007-08-10,845.90155
2007-08-14,799.56635
2007-08-15,811.15045
2007-08-16,793.60046
2007-08-17,766.7117
2007-08-20,766.6343
2007-08-21,775.70734
2007-08-22,805.2352
2007-08-23,783.0849
2007-08-24,802.8179
2007-08-27,796.0446
2007-08-28,806.1674
2007-08-29,800.82794
2007-08-30,792.41754
2007-08-31,807.4493
2007-09-03,803.74976
2007-09-04,819.93805
2007-09-05,827.2641
2007-09-06,826.2812
2007-09-07,821.6499
2007-09-10,821.3289
2007-09-11,808.10004
2007-09-12,809.8584
2007-09-13,816.5251
2007-09-14,812.52057
2007-09-17,819.4711
2007-09-18,820.91064
2007-09-19,811.374
2007-09-20,820.1423
2007-09-21,823.28424
2007-09-24,826.5341
2007-09-25,844.2535
2007-09-26,843.18115
2007-09-27,845.141
2007-09-28,854.0284
2007-10-01,855.04346
2007-10-02,853.0913
2007-10-03,867.2326
2007-10-04,863.34375
2007-10-05,856.04877
2007-10-08,859.9349
2007-10-09,866.6756
2007-10-10,871.63153
2007-10-11,882.0203
2007-10-12,886.7583
2007-10-15,897.2506
2007-10-16,898.7111
2007-10-17,911.6491
2007-10-18,894.98676
2007-10-19,895.6923
2007-10-22,890.5191
2007-10-24,879.3683
2007-10-25,879.926
2007-10-26,877.4898
2007-10-29,907.63556
2007-10-30,916.0567
2007-10-31,920.8396
2007-11-01,905.39886
2007-11-02,920.04395
2007-11-05,899.45624
2007-11-06,899.9366
2007-11-07,881.9714
2007-11-08,899.70123
2007-11-09,881.20795
2007-11-12,881.31555
2007-11-13,873.12744
2007-11-14,868.76715
2007-11-15,874.2913
2007-11-16,869.50024
2007-11-19,858.5286
2007-11-20,860.4524
2007-11-21,834.70306
2007-11-22,830.02875
2007-11-23,817.11816
2007-11-26,822.399
2007-11-27,838.6586
2007-11-28,833.1836
2007-11-29,832.7064
2007-11-30,840.6368
2007-12-03,853.44275
2007-12-04,854.7798
2007-12-06,838.95087
2007-12-07,849.1105
2007-12-11,862.8552
2007-12-12,852.33014
2007-12-13,840.9586
2007-12-14,839.7987
2007-12-17,842.5864
2007-12-18,842.60596
2007-12-19,824.0042
2007-12-20,826.8748
2007-12-21,815.0378
2007-12-25,805.0896
2007-12-26,830.02875
2007-12-27,854.5846
2007-12-28,852.74
2008-01-02,855.4241
2008-01-03,866.57794
2008-01-04,843.41504
2008-01-07,839.175
2008-01-08,821.8639
2008-01-09,822.52545
2008-01-10,814.3185
2008-01-11,825.8725
2008-01-14,813.36597
2008-01-15,801.7306
2008-01-16,806.0994
2008-01-17,773.2593
2008-01-18,783.0462
2008-01-21,788.4914
2008-01-22,800.7504
2008-01-23,758.1791
2008-01-24,770.01855
2008-01-25,754.82837
2008-01-28,752.4054
2008-01-29,763.8406
2008-01-30,764.7203
2008-01-31,770.1927
2008-02-01,774.9526
2008-02-04,807.31335
2008-02-05,833.6804
2008-02-06,815.0184
2008-02-07,801.8471
2008-02-08,803.9634
2008-02-11,805.32263
2008-02-12,820.0743
2008-02-13,819.64624
2008-02-14,831.94684
2008-02-15,847.6376
2008-02-18,832.18054
2008-02-19,839.2043
2008-02-20,838.181
2008-02-22,849.3934
2008-02-25,831.1094
2008-02-26,843.1421
2008-02-27,854.0869
2008-02-28,847.7839
2008-02-29,841.14374
2008-03-03,848.1838
2008-03-04,851.56903
2008-03-05,853.9989
2008-03-06,839.2433
2008-03-07,839.6136
2008-03-10,833.59265
2008-03-11,822.1752
2008-03-12,814.6684
2008-03-13,834.45953
2008-03-14,834.8004
2008-03-17,827.75085
2008-03-18,816.71954
2008-03-19,810.8007
2008-03-20,823.23553
2008-03-21,808.984
2008-03-24,810.2469
2008-03-25,814.649
2008-03-26,819.6172
2008-03-27,829.4252
2008-03-28,825.3664
2008-03-31,833.5147
2008-04-01,834.13806
2008-04-02,828.50995
2008-04-03,836.1058
2008-04-04,833.0375
2008-04-08,836.3786
2008-04-09,834.60565
2008-04-10,837.7037
2008-04-11,834.8784
2008-04-16,830.70056
2008-04-17,835.77466
2008-04-18,846.85724
2008-04-21,854.3894
2008-04-22,860.51105
2008-04-23,851.813
2008-04-24,858.65564
2008-04-25,847.80334
2008-04-28,845.84296
2008-04-29,844.5559
2008-04-30,848.22284
2008-05-02,841.2023
2008-05-06,845.1897
2008-05-07,853.5109
2008-05-08,856.537
2008-05-09,857.523
2008-05-12,858.9681
2008-05-13,854.98486
2008-05-14,852.0374
2008-05-15,850.886
2008-05-16,861.18494
2008-05-20,868.44464
2008-05-21,878.9769
2008-05-22,878.2431
2008-05-23,889.9998
2008-05-26,885.50507
2008-05-27,875.0052
2008-05-28,866.9492
2008-05-29,861.5562
2008-05-30,845.9601
2008-06-02,841.3093
2008-06-03,834.0699
2008-06-04,818.7712
2008-06-05,812.851
2008-06-06,817.28345
2008-06-09,825.68756
2008-06-10,820.0839
2008-06-11,813.89075
2008-06-12,803.4682
2008-06-13,795.4626
2008-06-16,800.8183
2008-06-17,797.7325
2008-06-18,796.355
2008-06-19,780.2281
2008-06-20,770.82135
2008-06-23,749.1535
2008-06-24,768.9839
2008-06-25,780.30554
2008-06-26,774.99115
2008-06-27,790.74023
2008-06-30,779.25006
2008-07-02,789.1118
2008-07-03,778.04974
2008-07-04,763.3671
2008-07-07,755.66833
2008-07-08,756.0545
2008-07-09,738.3739
2008-07-10,741.43854
2008-07-11,729.61975
2008-07-14,737.0153
2008-07-15,742.123
2008-07-16,724.1352
2008-07-18,705.5249
2008-07-21,694.736
2008-07-22,684.2588
2008-07-23,698.7622
2008-07-24,704.2007
2008-07-25,703.6538
2008-07-28,696.03955
2008-07-29,702.3874
2008-07-30,692.89624
2008-07-31,692.8771
2008-08-01,688.1071
2008-08-04,686.6039
2008-08-05,691.9574
2008-08-06,686.03906
2008-08-07,686.1061
2008-08-08,692.034
2008-08-11,707.2813
2008-08-13,720.7693
2008-08-14,708.7692
2008-08-15,718.1641
2008-08-18,718.1833
2008-08-19,720.6155
2008-08-20,705.5921
2008-08-21,704.0663
2008-08-22,704.4118
2008-08-25,693.12616
2008-08-26,694.669
2008-08-27,679.49414
2008-08-28,682.7946
2008-08-29,692.24475
2008-09-01,699.42377
2008-09-02,692.1489
2008-09-03,676.00385
2008-09-04,670.5564
2008-09-05,660.96124
2008-09-08,660.56055
2008-09-09,669.5724
2008-09-10,674.0441
2008-09-11,673.7575
2008-09-12,668.9707
2008-09-15,663.53784
2008-09-16,666.8315
2008-09-17,639.87646
2008-09-18,642.7503
2008-09-19,608.0843
2008-09-22,630.92926
2008-09-23,642.44574
2008-09-24,628.6111
2008-09-25,628.82007
2008-09-26,634.4555
2008-09-29,633.0486
2008-09-30,634.43646
2008-10-01,587.1643
2008-10-02,617.7712
2008-10-03,614.3764
2008-10-06,608.9558
2008-10-07,597.7866
2008-10-08,560.2485
2008-10-09,539.2799
2008-10-10,523.5677
2008-10-13,484.83038
2008-10-14,481.86646
2008-10-15,524.85846
2008-10-16,518.59436
2008-10-17,494.99692
2008-10-20,502.3743
2008-10-21,501.22797
2008-10-22,505.93576
2008-10-24,499.7558
2008-10-27,480.1018
2008-10-28,453.1949
2008-10-29,425.1879
2008-10-30,437.88803
2008-10-31,426.3471
