Date,Predict
2007-01-03,8934.644
2007-01-04,8934.644
2007-01-05,8925.087
2007-01-08,8965.292
2007-01-09,8964.956
2007-01-10,8939.051
2007-01-11,8887.958
2007-01-12,8953.12
2007-01-15,9032.208
2007-01-16,9124.4
2007-01-17,9168.892
2007-01-18,9143.094
2007-01-19,9183.028
2007-01-22,9139.545
2007-01-23,9224.3955
2007-01-24,9169.441
2007-01-25,9203.367
2007-01-26,9256.507
2007-01-29,9174.676
2007-01-30,9104.6455
2007-01-31,9171.273
2007-02-01,9199.654
2007-02-02,9280.658
2007-02-05,9308.282
2007-02-06,9329.221
2007-02-07,9339.886
2007-02-08,9353.767
2007-02-09,9375.957
2007-02-12,9350.066
2007-02-13,9327.346
2007-02-14,9355.79
2007-02-15,9358.053
2007-02-16,9420.322
2007-02-19,9362.153
2007-02-20,9427.332
2007-02-21,9449.724
2007-02-22,9422.548
2007-02-23,9317.713
2007-02-26,9339.245
2007-02-27,9322.1045
2007-02-28,9197.184
2007-03-01,8774.312
2007-03-02,8821.486
2007-03-05,8884.778
2007-03-06,8665.472
2007-03-07,8816.851
2007-03-08,8836.133
2007-03-09,8950.346
2007-03-12,8987.126
2007-03-13,9020.802
2007-03-14,8946.406
2007-03-15,8674.624
2007-03-16,8713.556
2007-03-19,8726.479
2007-03-20,8840.879
2007-03-21,8887.111
2007-03-22,8925.193
2007-03-23,9113.601
2007-03-26,9130.384
2007-03-27,9156.057
2007-03-28,9113.031
2007-03-29,8974.201
2007-03-30,8953.893
2007-04-02,9041.205
2007-04-03,8981.077
2007-04-04,9066.7295
2007-04-05,9141.736
2007-04-10,9112.637
2007-04-11,9167.85
2007-04-12,9214.303
2007-04-13,9189.013
2007-04-16,9193.186
2007-04-17,9300.629
2007-04-18,9336.264
2007-04-19,9312.021
2007-04-20,9256.001
2007-04-23,9404.207
2007-04-24,9541.478
2007-04-25,9544.269
2007-04-26,9474.084
2007-04-27,9604.179
2007-04-30,9573.141
2007-05-02,9492.85
2007-05-03,9540.144
2007-05-04,9534.074
2007-05-07,9509.839
2007-05-08,9579.708
2007-05-09,9549.851
2007-05-10,9533.295
2007-05-11,9540.61
2007-05-14,9372.497
2007-05-15,9566.775
2007-05-16,9457.872
2007-05-18,9470.847
2007-05-21,9484.138
2007-05-22,9548.241
2007-05-23,9486.102
2007-05-24,9485.735
2007-05-25,9492.129
2007-05-29,9410.515
2007-05-30,9504.262
2007-05-31,9432.428
2007-06-01,9559.776
2007-06-04,9577.781
2007-06-05,9624.534
2007-06-06,9605.161
2007-06-07,9491.118
2007-06-08,9392.556
2007-06-11,9156.473
2007-06-12,9276.264
2007-06-13,9270.05
2007-06-14,9226.45
2007-06-15,9299.505
2007-06-18,9381.972
2007-06-19,9513.259
2007-06-20,9481.285
2007-06-21,9455.61
2007-06-22,9374.808
2007-06-25,9328.736
2007-06-26,9181.766
2007-06-27,9146.517
2007-06-28,9102.368
2007-06-29,9172.348
2007-07-02,9236.305
2007-07-03,9270.05
2007-07-04,9316.423
2007-07-05,9324.939
2007-07-06,9411.855
2007-07-09,9291.932
2007-07-10,9394.579
2007-07-11,9365.236
2007-07-12,9230.76
2007-07-13,9308.226
2007-07-16,9423.324
2007-07-17,9369.49
2007-07-18,9344.821
2007-07-19,9195.338
2007-07-20,9189.431
2007-07-23,9295.4375
2007-07-24,9170.802
2007-07-25,9150.387
2007-07-26,9038.017
2007-07-27,9018.675
2007-07-30,8638.708
2007-07-31,8755.897
2007-08-02,8802.4
2007-08-03,8943.086
2007-08-06,8837.605
2007-08-07,8603.594
2007-08-08,8738.652
2007-08-09,8842.959
2007-08-10,8968.483
2007-08-13,8705.081
2007-08-14,8693.894
2007-08-15,8630.474
2007-08-16,8508.146
2007-08-17,8486.647
2007-08-20,8369.419
2007-08-21,8619.608
2007-08-22,8625.271
2007-08-23,8663.374
2007-08-24,8832.633
2007-08-27,8717.663
2007-08-28,8857.26
2007-08-29,8865.809
2007-08-30,8681.085
2007-08-31,8829.264
2007-09-03,8852.587
2007-09-04,8983.714
2007-09-05,8896.386
2007-09-06,9004.428
2007-09-07,8942.468
2007-09-10,8839.037
2007-09-11,8716.393
2007-09-12,8701.556
2007-09-13,8765.912
2007-09-14,8799.78
2007-09-17,8866.849
2007-09-18,8773.111
2007-09-19,8695.78
2007-09-20,9018.304
2007-09-21,8998.778
2007-09-24,8948.451
2007-09-25,8917.911
2007-09-26,8910.4
2007-09-27,8905.684
2007-09-28,8955.776
2007-10-01,8949.975
2007-10-02,8898.318
2007-10-03,9131.399
2007-10-04,9142.503
2007-10-05,9110.886
2007-10-08,9120.489
2007-10-09,9142.022
2007-10-10,9172.567
2007-10-11,9229.672
2007-10-12,9251.544
2007-10-15,9236.767
2007-10-16,9258.435
2007-10-17,9200.348
2007-10-18,9101.744
2007-10-19,9150.814
2007-10-22,9064.194
2007-10-23,8867.402
2007-10-24,8936.364
2007-10-25,8945.654
2007-10-26,8947.984
2007-10-29,8967.961
2007-10-30,9075.717
2007-10-31,9021.904
2007-11-01,8992.02
2007-11-02,9087.343
2007-11-05,8862.011
2007-11-06,8739.429
2007-11-07,8772.981
2007-11-08,8836.935
2007-11-09,8627.946
2007-11-12,8687.622
2007-11-13,8366.719
2007-11-14,8403.535
2007-11-15,8612.636
2007-11-16,8680.277
2007-11-19,8545.929
2007-11-20,8475.505
2007-11-21,8340.373
2007-11-22,8226.968
2007-11-23,8139.77
2007-11-26,8241.474
2007-11-27,8449.381
2007-11-28,8337.718
2007-11-29,8479.842
2007-11-30,8701.308
2007-12-03,8791.592
2007-12-04,8837.194
2007-12-05,8728.842
2007-12-06,8715.108
2007-12-07,8765.383
2007-12-10,8832.22
2007-12-11,8826.338
2007-12-12,8949.312
2007-12-13,8778.7
2007-12-14,8798.288
2007-12-17,8731.141
2007-12-18,8640.18
2007-12-19,8499.3125
2007-12-20,8475.675
2007-12-21,8410.055
2007-12-27,8475.855
2007-12-28,8512.178
2008-01-03,8479.745
2008-01-04,8418.46
2008-01-07,8308.468
2008-01-08,8080.2563
2008-01-09,8120.644
2008-01-10,8262.68
2008-01-11,8371.12
2008-01-14,8298.128
2008-01-15,8141.3394
2008-01-16,8156.2036
2008-01-17,7911.172
2008-01-18,7888.823
2008-01-21,7783.17
2008-01-22,7541.254
2008-01-23,6995.3086
2008-01-24,7597.5728
2008-01-25,7533.9795
2008-01-28,7789.7935
2008-01-29,7565.5933
2008-01-30,7598.035
2008-01-31,7628.356
2008-02-01,7632.5127
2008-02-04,7704.5386
2008-02-05,7860.0376
2008-02-06,7715.105
2008-02-07,7399.2734
2008-02-08,7513.351
2008-02-11,7472.2964
2008-02-12,7348.699
2008-02-13,7346.74
2008-02-14,7453.422
2008-02-15,7582.804
2008-02-18,7463.056
2008-02-19,7389.4966
2008-02-20,7387.4727
2008-02-21,7351.8057
2008-02-22,7368.819
2008-02-25,7403.772
2008-02-26,7555.952
2008-02-27,7612.6714
2008-02-28,7754.616
2008-02-29,7727.2266
2008-03-03,7551.4
2008-03-04,7369.763
2008-03-05,7360.701
2008-03-06,7300.854
2008-03-07,7311.966
2008-03-10,7111.7734
2008-03-11,7081.7954
2008-03-12,7031.4546
2008-03-13,7213.2554
2008-03-14,7124.1855
2008-03-17,7206.7427
2008-03-18,6875.961
2008-03-19,6841.119
2008-03-20,7062.2256
2008-03-25,6930.622
2008-03-26,7197.603
2008-03-27,7184.158
2008-03-28,7129.105
2008-03-31,7238.6997
2008-04-01,7126.424
2008-04-02,7185.99
2008-04-03,7505.7285
2008-04-04,7569.882
2008-04-07,7517.3423
2008-04-08,7652.9404
2008-04-09,7546.9316
2008-04-10,7498.396
2008-04-11,7371.674
2008-04-14,7318.7153
2008-04-15,7141.778
2008-04-16,7138.0015
2008-04-17,7186.524
2008-04-18,7225.6406
2008-04-21,7180.2124
2008-04-22,7420.115
2008-04-23,7325.7505
2008-04-24,7311.2866
2008-04-25,7319.4043
2008-04-28,7479.7427
2008-04-29,7487.4263
2008-04-30,7470.825
2008-05-02,7438.1226
2008-05-05,7553.543
2008-05-06,7626.3906
2008-05-07,7608.928
2008-05-08,7524.313
2008-05-09,7530.825
2008-05-13,7525.1836
2008-05-14,7528.265
2008-05-15,7600.1416
2008-05-16,7545.1475
2008-05-19,7696.053
2008-05-20,7661.379
2008-05-21,7702.2666
2008-05-22,7617.0
2008-05-23,7490.053
2008-05-26,7543.375
2008-05-27,7387.513
2008-05-28,7350.3027
2008-05-29,7392.5176
2008-05-30,7470.9585
2008-06-02,7538.722
2008-06-03,7519.277
2008-06-04,7467.2827
2008-06-05,7518.468
2008-06-06,7493.682
2008-06-09,7582.1978
2008-06-10,7288.8975
2008-06-11,7231.0796
2008-06-12,7291.741
2008-06-13,7123.774
2008-06-16,7185.7188
2008-06-17,7241.284
2008-06-18,7239.124
2008-06-19,7200.4946
2008-06-20,7097.797
2008-06-23,7123.8843
2008-06-24,7019.751
2008-06-25,6984.733
2008-06-26,7018.524
2008-06-27,7008.334
2008-06-30,6862.719
2008-07-01,6816.5015
2008-07-02,6900.756
2008-07-03,6856.256
2008-07-04,6730.492
2008-07-07,6870.1567
2008-07-08,6800.0347
2008-07-09,6653.508
2008-07-10,6815.5923
2008-07-11,6789.6274
2008-07-14,6806.4595
2008-07-15,6669.6953
2008-07-16,6576.887
2008-07-17,6555.427
2008-07-18,6687.5845
2008-07-21,6663.181
2008-07-22,6782.8037
2008-07-23,6753.932
2008-07-24,6983.278
2008-07-25,7111.7944
2008-07-28,6975.5674
2008-07-29,6955.8174
2008-07-30,6845.3613
2008-07-31,7055.4033
2008-08-04,7082.1157
2008-08-05,7034.802
2008-08-06,7067.5396
2008-08-07,7211.017
2008-08-08,7143.506
2008-08-11,7110.8604
2008-08-12,7247.9995
2008-08-13,7278.7993
2008-08-14,7223.38
2008-08-15,7184.8423
2008-08-18,7191.7607
2008-08-19,7137.3384
2008-08-20,7128.8735
2008-08-21,7100.0815
2008-08-22,7009.96
2008-08-25,6978.8745
2008-08-26,7034.6123
2008-08-27,6989.8257
2008-08-28,7037.0796
2008-08-29,7051.484
2008-09-01,7186.9575
2008-09-02,7148.048
2008-09-03,7180.2827
2008-09-04,7208.396
2008-09-05,7235.7725
2008-09-08,7009.6406
2008-09-09,7202.752
2008-09-10,7121.1943
2008-09-11,7134.717
2008-09-12,7081.6753
2008-09-15,7083.839
2008-09-16,7005.291
2008-09-17,6822.961
2008-09-18,6821.677
2008-09-19,6599.5347
2008-09-22,6827.3975
2008-09-23,6993.614
2008-09-24,6827.259
2008-09-25,6820.4526
2008-09-26,6759.82
2008-09-29,6816.2144
2008-09-30,6715.8813
2008-10-01,6322.5454
2008-10-02,6711.5103
2008-10-03,6719.3477
2008-10-06,6721.53
2008-10-07,6593.494
2008-10-08,6543.379
2008-10-09,6183.6055
2008-10-10,6172.0327
2008-10-13,5444.6387
2008-10-14,5724.212
2008-10-15,6150.603
2008-10-16,6227.636
2008-10-17,5681.2974
2008-10-20,5928.6743
2008-10-21,6170.1855
2008-10-22,6316.3022
2008-10-23,6034.13
2008-10-24,5962.7476
2008-10-27,5685.1035
2008-10-28,5447.3765
2008-10-29,5616.9185
2008-10-30,5791.27
2008-10-31,6006.9194
2008-11-03,5843.984
2008-11-04,6211.1367
2008-11-05,6239.334
2008-11-06,6318.742
2008-11-07,6021.5195
2008-11-10,5963.565
2008-11-11,6153.1235
2008-11-12,5976.1313
2008-11-13,5956.008
2008-11-14,5665.613
2008-11-17,5881.9272
2008-11-18,5813.2915
2008-11-19,5680.9556
2008-11-20,5718.7017
2008-11-21,5464.3296
2008-11-24,5405.2725
2008-11-25,5292.3623
2008-11-26,5434.4946
2008-11-27,5470.7954
2008-11-28,5550.5938
2008-12-01,5675.1753
2008-12-02,5796.0415
2008-12-03,5505.1304
2008-12-04,5540.678
2008-12-05,5588.1855
2008-12-08,5598.783
2008-12-09,5796.1626
2008-12-10,5779.963
2008-12-11,5820.3066
2008-12-12,5726.8516
2008-12-15,5563.1807
2008-12-16,5693.512
2008-12-17,5553.6064
2008-12-18,5658.2065
2008-12-19,5618.7583
2008-12-22,5484.6753
2008-12-23,5462.0806
2008-12-24,5485.6235
2008-12-26,5439.829
2008-12-29,5439.829
2008-12-30,5455.2817
2009-01-02,5557.6367
2009-01-05,5557.6465
2009-01-06,5747.0205
2009-01-07,5788.47
2009-01-08,5787.7817
2009-01-09,5713.1113
2009-01-12,5765.0435
2009-01-13,5675.739
2009-01-14,5594.025
2009-01-15,5608.413
2009-01-16,5454.836
2009-01-19,5529.0156
2009-01-20,5528.339
2009-01-21,5452.2695
2009-01-22,5342.034
2009-01-23,5442.675
2009-01-26,5373.583
2009-01-27,5349.2417
2009-01-28,5477.3555
2009-01-29,5396.868
2009-01-30,5408.066
2009-02-02,5334.8027
2009-02-03,5305.372
2009-02-04,5260.6284
2009-02-05,5251.49
2009-02-06,5193.589
2009-02-09,5212.3174
2009-02-10,5171.1367
2009-02-11,5211.3867
2009-02-12,5155.617
2009-02-13,5168.165
2009-02-16,5217.5005
2009-02-17,5167.7544
2009-02-18,5083.8525
2009-02-19,5044.9097
2009-02-20,5082.6646
2009-02-23,5010.9263
2009-02-24,4991.4062
2009-02-25,4861.9067
2009-02-26,4882.51
2009-02-27,4890.8247
2009-03-02,4795.7925
2009-03-03,4710.772
2009-03-04,4620.8867
2009-03-05,4560.947
2009-03-06,4588.907
2009-03-09,4542.261
2009-03-10,4490.778
2009-03-11,4471.1943
2009-03-12,4651.218
2009-03-13,4693.602
2009-03-16,4828.905
2009-03-17,4894.6914
2009-03-18,4875.851
2009-03-19,4939.768
2009-03-20,4928.1694
2009-03-23,4841.247
2009-03-24,4960.3228
2009-03-25,5069.0054
2009-03-26,5009.0034
2009-03-27,5061.441
2009-03-30,5050.4478
2009-03-31,4903.18
2009-04-01,4915.135
2009-04-02,5022.4097
2009-04-03,5176.2417
2009-04-06,5212.801
2009-04-07,5121.188
2009-04-08,5118.0044
2009-04-09,4987.7065
2009-04-13,5117.7373
2009-04-14,5143.7754
2009-04-15,5163.339
2009-04-16,5122.646
2009-04-17,5185.895
2009-04-20,5234.6196
2009-04-21,5247.336
2009-04-22,5134.3813
2009-04-23,5068.8896
2009-04-24,5149.6816
2009-04-27,5104.2573
2009-04-28,5149.53
2009-04-29,5152.6846
2009-04-30,5164.0347
2009-05-01,5269.8354
2009-05-04,5282.7715
2009-05-05,5326.1763
2009-05-06,5367.5117
2009-05-07,5325.41
2009-05-08,5390.6885
2009-05-11,5411.5947
2009-05-12,5420.5347
2009-05-13,5367.448
2009-05-14,5414.5894
2009-05-15,5321.775
2009-05-18,5447.922
2009-05-19,5355.685
2009-05-20,5501.2783
2009-05-21,5525.723
2009-05-22,5539.8823
2009-05-25,5473.802
2009-05-26,5467.5713
2009-05-27,5439.8564
2009-05-28,5487.146
2009-05-29,5419.8174
2009-06-01,5429.1523
2009-06-02,5394.539
2009-06-03,5477.1733
2009-06-04,5475.661
2009-06-05,5431.796
2009-06-08,5488.0215
2009-06-09,5446.958
2009-06-10,5462.973
2009-06-11,5472.681
2009-06-12,5478.477
2009-06-15,5521.2266
2009-06-16,5520.7236
2009-06-17,5435.34
2009-06-18,5402.8335
2009-06-19,5368.8506
2009-06-22,5461.0156
2009-06-23,5445.649
2009-06-24,5338.5483
2009-06-25,5384.6543
2009-06-26,5456.192
2009-06-29,5447.258
2009-06-30,5409.1636
2009-07-01,5506.472
2009-07-02,5468.5273
2009-07-03,5486.4077
2009-07-06,5413.074
2009-07-07,5356.8965
2009-07-08,5409.363
2009-07-09,5354.176
2009-07-10,5365.8384
2009-07-13,5334.5405
2009-07-14,5279.7505
2009-07-15,5400.0586
2009-07-16,5430.197
2009-07-17,5516.9585
2009-07-20,5603.248
2009-07-21,5637.719
2009-07-22,5653.107
2009-07-23,5660.272
2009-07-24,5684.466
2009-07-27,5747.2617
2009-07-28,5811.047
2009-07-29,5810.675
2009-07-30,5767.969
2009-07-31,5824.5103
2009-08-03,5913.5767
2009-08-04,5952.898
2009-08-05,5962.0796
2009-08-06,5927.5767
2009-08-07,5957.2485
2009-08-10,5933.2163
2009-08-11,5994.2827
2009-08-12,5998.8047
2009-08-13,5919.586
2009-08-14,5966.2363
2009-08-17,5998.286
2009-08-18,5937.646
2009-08-19,5906.8574
2009-08-20,5920.88
2009-08-21,6013.944
2009-08-24,6029.57
2009-08-25,6161.752
2009-08-26,6140.659
2009-08-27,6173.393
2009-08-28,6152.372
2009-08-31,6188.38
2009-09-01,6159.62
2009-09-02,6232.538
2009-09-03,6096.079
2009-09-04,6085.8833
2009-09-07,6089.587
2009-09-08,6157.271
2009-09-09,6187.5312
2009-09-10,6157.404
2009-09-11,6217.0356
2009-09-14,6211.461
2009-09-15,6172.4326
2009-09-16,6210.201
2009-09-17,6208.1206
2009-09-18,6324.3613
2009-09-21,6290.7476
2009-09-22,6300.119
2009-09-23,6302.3066
2009-09-24,6319.395
2009-09-25,6293.654
2009-09-28,6253.6416
2009-09-29,6192.8027
2009-09-30,6286.8174
2009-10-01,6299.639
2009-10-02,6312.0967
2009-10-05,6194.9766
2009-10-06,6127.302
2009-10-07,6186.1597
2009-10-08,6236.8384
2009-10-09,6297.5864
2009-10-12,6275.1255
2009-10-13,6293.826
2009-10-14,6352.5537
2009-10-15,6349.87
2009-10-16,6377.044
2009-10-19,6391.3516
2009-10-20,6359.8887
2009-10-21,6423.0547
2009-10-22,6403.1606
2009-10-23,6348.368
2009-10-26,6429.5586
2009-10-27,6381.8823
2009-10-28,6298.1523
2009-10-29,6331.8955
2009-10-30,6217.58
2009-11-02,6343.607
2009-11-03,6238.9224
2009-11-04,6212.7495
2009-11-05,6221.6763
2009-11-06,6189.152
2009-11-09,6267.7886
2009-11-10,6330.521
2009-11-11,6369.6826
2009-11-12,6391.718
2009-11-13,6327.5513
2009-11-16,6310.215
2009-11-17,6362.9023
2009-11-18,6386.3076
2009-11-19,6376.196
2009-11-20,6326.1484
2009-11-23,6278.795
2009-11-24,6300.992
2009-11-25,6349.34
2009-11-26,6415.8765
2009-11-27,6368.614
2009-11-30,6168.8047
2009-12-01,6338.076
2009-12-02,6288.447
2009-12-03,6348.667
2009-12-04,6399.5806
2009-12-07,6388.872
2009-12-08,6455.6577
2009-12-09,6431.7915
2009-12-10,6350.408
2009-12-11,6338.7017
2009-12-14,6415.809
2009-12-15,6436.6743
2009-12-16,6427.239
2009-12-17,6412.4
2009-12-18,6474.099
2009-12-21,6489.805
2009-12-22,6466.561
2009-12-23,6499.2744
2009-12-24,6578.9053
2009-12-28,6551.047
2009-12-29,6573.847
2009-12-30,6571.732
2009-12-31,6576.5073
2010-01-04,6517.888
2010-01-05,6549.538
2010-01-06,6590.665
2010-01-07,6568.751
2010-01-08,6508.7583
2010-01-11,6545.86
2010-01-12,6622.0244
2010-01-13,6567.2793
2010-01-14,6481.311
2010-01-15,6559.5654
2010-01-18,6607.0415
2010-01-19,6588.227
2010-01-20,6565.6323
2010-01-21,6585.1064
2010-01-22,6595.134
2010-01-25,6513.906
2010-01-26,6431.1055
2010-01-27,6380.6963
2010-01-28,6403.913
2010-01-29,6515.6245
2010-02-01,6430.883
2010-02-02,6385.0835
2010-02-03,6487.8657
2010-02-04,6524.496
2010-02-05,6529.0444
2010-02-08,6335.9326
2010-02-09,6259.728
2010-02-10,6320.7964
2010-02-11,6342.212
2010-02-12,6356.048
2010-02-15,6414.5537
2010-02-16,6425.016
2010-02-17,6459.046
2010-02-18,6520.297
2010-02-19,6554.5024
2010-02-22,6561.8047
2010-02-23,6701.4473
2010-02-24,6666.3545
2010-02-25,6633.686
2010-02-26,6643.418
2010-03-01,6656.738
2010-03-02,6723.504
2010-03-03,6747.251
2010-03-04,6773.156
2010-03-05,6742.6265
2010-03-08,6775.6885
2010-03-09,6830.8867
2010-03-10,6830.0166
2010-03-11,6841.6924
2010-03-12,6825.6777
2010-03-15,6832.6055
2010-03-16,6798.199
2010-03-17,6826.5576
2010-03-18,6866.1455
2010-03-19,6842.3647
2010-03-22,6903.3755
2010-03-23,6812.462
2010-03-24,6835.0376
2010-03-25,6863.7583
2010-03-26,6849.8525
2010-03-29,6851.3564
2010-03-30,6812.9062
2010-03-31,6848.0225
2010-04-01,6835.74
2010-04-05,6842.3945
2010-04-06,6854.226
2010-04-07,6893.2773
2010-04-08,6848.2397
2010-04-09,6774.752
2010-04-12,6790.5845
2010-04-13,6871.147
2010-04-14,6858.9575
2010-04-15,6886.6045
2010-04-16,6916.1104
2010-04-19,6931.366
2010-04-20,6782.647
2010-04-21,6804.7124
2010-04-22,6841.8804
2010-04-23,6766.565
2010-04-26,6702.2812
2010-04-27,6787.744
2010-04-28,6759.3467
2010-04-29,6578.8364
2010-04-30,6588.588
2010-05-03,6616.807
2010-05-04,6574.5674
2010-05-05,6596.022
2010-05-06,6472.946
2010-05-07,6381.516
2010-05-10,6231.984
2010-05-11,6363.885
2010-05-12,6396.1743
2010-05-13,6478.1406
2010-05-14,6546.1807
2010-05-17,6543.4077
2010-05-18,6364.279
2010-05-19,6459.782
2010-05-20,6391.65
2010-05-21,6395.8755
2010-05-25,6214.859
2010-05-26,6061.206
2010-05-27,6156.928
2010-05-28,6191.506
2010-05-31,6324.0444
2010-06-01,6302.863
2010-06-02,6275.9688
2010-06-03,6266.611
2010-06-04,6417.7695
2010-06-07,6428.9014
2010-06-08,6231.9355
2010-06-09,6291.7554
2010-06-10,6264.1216
2010-06-11,6286.654
2010-06-14,6395.046
2010-06-15,6453.8374
2010-06-16,6426.659
2010-06-17,6481.417
2010-06-18,6458.194
2010-06-21,6472.209
2010-06-22,6493.811
2010-06-23,6465.108
2010-06-24,6383.9546
2010-06-25,6378.114
2010-06-28,6305.0986
2010-06-29,6286.654
2010-06-30,6238.3965
2010-07-01,6138.3306
2010-07-02,6035.3105
2010-07-05,5997.731
2010-07-06,5977.6934
2010-07-07,5949.2617
2010-07-08,6014.0195
2010-07-09,6144.081
2010-07-12,6175.451
2010-07-13,6202.949
2010-07-14,6224.58
2010-07-15,6306.721
2010-07-16,6307.671
2010-07-19,6281.411
2010-07-20,6139.87
2010-07-21,6165.207
2010-07-22,6138.559
2010-07-23,6098.7046
2010-07-26,6156.462
2010-07-27,6203.5884
2010-07-28,6223.1567
2010-07-29,6285.6665
2010-07-30,6275.0586
2010-08-02,6190.048
2010-08-03,6226.7188
2010-08-04,6312.9614
2010-08-05,6307.911
2010-08-06,6358.685
2010-08-09,6364.741
2010-08-10,6352.7466
2010-08-11,6364.588
2010-08-12,6344.578
2010-08-13,6246.199
2010-08-16,6299.0156
2010-08-17,6281.219
2010-08-18,6283.108
2010-08-19,6327.859
2010-08-20,6371.686
2010-08-23,6262.666
