Date,Predict
2007-01-04,7019.193
2007-01-05,7019.193
2007-01-08,6960.4175
2007-01-09,6984.504
2007-01-10,7174.0327
2007-01-11,7379.128
2007-01-12,7600.5635
2007-01-15,7515.5615
2007-01-16,7442.0894
2007-01-17,7936.784
2007-01-18,8226.493
2007-01-19,7914.301
2007-01-22,8021.0845
2007-01-23,8378.951
2007-01-24,8580.147
2007-01-25,8496.771
2007-01-26,8489.901
2007-01-29,8131.146
2007-01-30,8476.886
2007-01-31,8605.291
2007-02-01,8498.895
2007-02-02,7762.101
2007-02-05,7925.254
2007-02-06,7540.6304
2007-02-07,7542.5703
2007-02-08,7667.652
2007-02-09,7814.217
2007-02-12,7953.016
2007-02-13,7860.8125
2007-02-14,8242.354
2007-02-15,8345.493
2007-02-16,8595.027
2007-02-26,8867.28
2007-02-27,8790.525
2007-02-28,8827.473
2007-03-01,7842.55
2007-03-02,8300.571
2007-03-05,8032.134
2007-03-06,8133.326
2007-03-07,8033.955
2007-03-08,8201.612
2007-03-09,8395.59
2007-03-12,8487.499
2007-03-13,8359.957
2007-03-14,8359.342
2007-03-15,8339.195
2007-03-16,8321.427
2007-03-19,8523.836
2007-03-20,8150.0566
2007-03-21,8523.236
2007-03-22,8576.371
2007-03-23,8656.437
2007-03-26,8639.338
2007-03-27,8725.594
2007-03-28,8857.416
2007-03-29,8837.157
2007-03-30,8813.62
2007-04-02,8756.076
2007-04-03,8783.771
2007-04-04,9028.223
2007-04-05,9178.229
2007-04-06,9291.813
2007-04-09,9294.653
2007-04-10,9510.456
2007-04-11,9691.28
2007-04-12,9869.214
2007-04-13,9955.689
2007-04-16,10170.25
2007-04-17,10230.127
2007-04-18,10473.298
2007-04-19,10501.099
2007-04-20,10531.527
2007-04-23,10062.252
2007-04-24,10547.696
2007-04-25,10941.362
2007-04-26,10793.639
2007-04-27,10907.612
2007-04-30,11019.531
2007-05-08,10887.701
2007-05-09,11266.95
2007-05-10,11666.547
2007-05-11,11693.482
2007-05-14,11601.971
2007-05-15,11522.65
2007-05-16,11920.464
2007-05-17,11554.108
2007-05-18,11942.592
2007-05-21,12183.271
2007-05-22,11859.521
2007-05-23,12469.068
2007-05-24,12599.315
2007-05-25,12843.866
2007-05-28,12662.949
2007-05-29,13001.674
2007-05-30,13272.107
2007-05-31,12821.37
2007-06-01,12671.153
2007-06-04,13127.602
2007-06-05,12561.595
2007-06-06,11337.894
2007-06-07,12281.104
2007-06-08,12552.328
2007-06-11,12904.147
2007-06-12,13113.801
2007-06-13,13428.947
2007-06-14,13864.876
2007-06-15,13932.73
2007-06-18,13776.719
2007-06-19,14188.668
2007-06-20,14378.182
2007-06-21,14692.743
2007-06-22,14230.714
2007-06-25,14416.94
2007-06-26,13859.687
2007-06-27,13049.453
2007-06-28,13485.928
2007-06-29,13723.47
2007-07-02,12724.954
2007-07-03,12661.709
2007-07-04,12744.597
2007-07-05,12969.765
2007-07-06,12473.996
2007-07-09,11895.502
2007-07-10,12688.798
2007-07-11,13048.949
2007-07-12,12804.357
2007-07-13,12982.657
2007-07-16,13037.788
2007-07-17,12992.201
2007-07-18,12435.654
2007-07-19,12921.109
2007-07-20,12941.401
2007-07-23,12957.901
2007-07-24,13795.631
2007-07-25,14449.594
2007-07-26,14391.063
2007-07-27,14670.429
2007-07-30,14712.404
2007-07-31,14762.365
2007-08-01,15254.134
2007-08-02,15465.599
2007-08-03,15101.772
2007-08-06,15913.96
2007-08-07,16522.21
2007-08-08,16781.664
2007-08-09,16572.701
2007-08-10,16417.389
2007-08-13,16837.799
2007-08-14,16439.314
2007-08-15,16313.936
2007-08-16,16666.55
2007-08-17,16426.36
2007-08-20,16151.608
2007-08-21,16300.052
2007-08-22,16967.43
2007-08-23,16937.695
2007-08-24,17687.518
2007-08-27,17934.105
2007-08-28,18198.12
2007-08-29,18067.238
2007-08-30,17938.668
2007-08-31,17735.33
2007-09-03,17930.77
2007-09-04,18243.244
2007-09-05,18476.281
2007-09-06,18306.459
2007-09-07,18346.021
2007-09-10,18241.762
2007-09-11,17719.648
2007-09-12,18180.525
2007-09-13,17307.799
2007-09-14,17715.602
2007-09-17,18281.943
2007-09-18,18388.193
2007-09-19,18830.195
2007-09-20,18620.283
2007-09-21,18397.207
2007-09-24,18537.219
2007-09-25,18547.957
2007-09-26,18712.305
2007-09-27,18498.41
2007-09-28,18238.988
2007-10-08,18704.404
2007-10-09,19559.902
2007-10-10,19449.438
2007-10-11,19615.244
2007-10-12,19546.129
2007-10-15,19621.387
2007-10-16,19354.88
2007-10-17,19410.607
2007-10-18,19597.217
2007-10-19,19512.26
2007-10-22,19036.29
2007-10-23,18785.25
2007-10-24,18611.352
2007-10-25,18961.617
