Date,Predict
2007-01-04,2767.0488
2007-01-05,2767.0488
2007-01-08,2710.3997
2007-01-09,2665.3032
2007-01-10,2750.7524
2007-01-11,2871.6985
2007-01-12,2853.8406
2007-01-15,2783.3418
2007-01-16,2702.3184
2007-01-17,2853.1638
2007-01-18,2862.4443
2007-01-19,2798.2034
2007-01-22,2799.1074
2007-01-23,2890.5642
2007-01-24,2992.489
2007-01-25,2983.6335
2007-01-26,2975.1138
2007-01-29,2841.0654
2007-01-30,2928.0984
2007-01-31,2987.4353
2007-02-01,2955.6057
2007-02-02,2782.8567
2007-02-05,2827.285
2007-02-06,2700.4192
2007-02-07,2657.497
2007-02-08,2729.7588
2007-02-09,2764.1487
2007-02-12,2779.689
2007-02-13,2768.618
2007-02-14,2853.621
2007-02-15,2870.469
2007-02-16,2953.3145
2007-02-26,3043.616
2007-02-27,3025.364
2007-02-28,3072.9324
2007-03-01,2773.1355
2007-03-02,2908.97
2007-03-05,2828.6655
2007-03-06,2861.7583
2007-03-07,2812.699
2007-03-08,2884.7007
2007-03-09,2934.7112
2007-03-12,2963.6448
2007-03-13,2974.5598
2007-03-14,2986.1936
2007-03-15,2962.8713
2007-03-16,2936.429
2007-03-19,2991.916
2007-03-20,2896.6287
2007-03-21,3049.9272
2007-03-22,3066.4937
2007-03-23,3103.3352
2007-03-26,3094.9219
2007-03-27,3106.5322
2007-03-28,3146.8364
2007-03-29,3160.871
2007-03-30,3198.3618
2007-04-02,3197.116
2007-04-03,3214.459
2007-04-04,3280.736
2007-04-05,3309.8208
2007-04-06,3300.3936
2007-04-09,3301.8528
2007-04-10,3345.7737
2007-04-11,3414.774
2007-04-12,3462.0688
2007-04-13,3509.02
2007-04-16,3541.7273
2007-04-17,3528.255
2007-04-18,3613.3596
2007-04-19,3616.2961
2007-04-20,3611.8093
2007-04-23,3468.3005
2007-04-24,3617.3657
2007-04-25,3733.3086
2007-04-26,3706.734
2007-04-27,3762.5374
2007-04-30,3784.0007
2007-05-08,3779.683
2007-05-09,3927.8284
2007-05-10,3950.1604
2007-05-11,4008.3245
2007-05-14,4011.2173
2007-05-15,3959.3787
2007-05-16,4041.5056
2007-05-17,3882.3867
2007-05-18,3990.0708
2007-05-21,4027.581
2007-05-22,3893.5132
2007-05-23,4075.553
2007-05-24,4108.616
2007-05-25,4169.5986
2007-05-28,4116.0986
2007-05-29,4201.315
2007-05-30,4266.2793
