Date,Predict
2007-01-01,935.9489
2007-01-02,935.9489
2007-01-03,950.03766
2007-01-04,949.31464
2007-01-07,954.5404
2007-01-08,948.07806
2007-01-09,945.3969
2007-01-10,943.48663
2007-01-11,924.1362
2007-01-14,924.93097
2007-01-15,933.54034
2007-01-16,940.37146
2007-01-17,946.4045
2007-01-18,936.09125
2007-01-21,946.6518
2007-01-22,944.86456
2007-01-23,947.59314
2007-01-24,947.7357
2007-01-25,954.12134
2007-01-28,958.27545
2007-01-29,956.236
2007-01-30,963.4062
2007-01-31,963.84515
2007-02-01,962.70013
2007-02-04,964.51324
2007-02-05,973.9813
2007-02-06,976.6313
2007-02-07,981.5428
2007-02-08,977.1385
2007-02-11,983.3439
2007-02-12,976.4974
2007-02-13,982.6061
2007-02-14,976.3633
2007-02-15,991.19824
2007-02-18,1003.6533
2007-02-19,995.0392
2007-02-20,1000.3538
2007-02-21,1010.7599
2007-02-22,1004.85626
2007-02-25,1013.40094
2007-02-26,1002.7394
2007-02-27,1005.0199
2007-02-28,999.2097
2007-03-01,975.18646
2007-03-05,975.0144
2007-03-06,954.8261
2007-03-07,970.27216
2007-03-08,974.1344
2007-03-11,970.22437
2007-03-12,975.8849
2007-03-13,986.814
2007-03-14,984.2639
2007-03-15,963.57806
2007-03-18,971.85876
2007-03-19,960.7257
2007-03-20,955.18805
2007-03-21,962.31854
2007-03-22,963.42535
2007-03-25,976.6601
2007-03-26,977.77014
2007-03-27,987.1879
2007-03-28,994.04987
2007-03-29,995.2407
2007-04-01,995.41376
2007-04-04,1009.47845
2007-04-05,1025.2161
2007-04-10,1037.1459
2007-04-11,1038.7251
2007-04-12,1040.0819
2007-04-15,1038.415
2007-04-16,1047.8706
2007-04-17,1058.1116
2007-04-18,1060.0765
2007-04-19,1058.1505
2007-04-22,1045.9297
2007-04-25,1061.7406
2007-04-26,1059.7068
2007-04-29,1086.4492
2007-04-30,1073.9589
2007-05-01,1060.9327
2007-05-02,1060.9327
2007-05-03,1082.3445
2007-05-06,1088.6984
