Date,Predict
2007-01-06,7681.441
2007-01-07,7681.441
2007-01-08,7715.2075
2007-01-09,7505.97
2007-01-10,7485.4883
2007-01-13,7482.5034
2007-01-14,7342.9966
2007-01-15,6998.3916
2007-01-16,6844.0854
2007-01-17,7018.0127
2007-01-20,6896.436
2007-01-21,6925.192
2007-01-22,6917.7773
2007-01-23,6960.973
2007-01-24,7035.123
2007-01-27,6913.5483
2007-01-28,6717.214
2007-01-29,6693.641
2007-01-30,6760.959
2007-01-31,6687.911
2007-02-03,6736.514
2007-02-04,6831.1523
2007-02-05,7007.7007
2007-02-06,6943.9995
2007-02-07,6901.114
2007-02-10,7026.5376
2007-02-11,7091.591
2007-02-12,7114.549
2007-02-13,7179.942
2007-02-14,7239.1777
2007-02-17,7380.5776
2007-02-18,7600.2783
2007-02-19,7783.214
2007-02-20,7808.7036
2007-02-21,7940.2725
2007-02-24,7897.29
2007-02-25,8037.0444
2007-02-26,8111.79
2007-02-27,8185.1113
2007-02-28,8170.8677
2007-03-03,8137.6016
2007-03-04,8022.071
2007-03-05,8223.665
2007-03-06,8455.684
2007-03-07,8567.905
2007-03-10,8546.524
2007-03-11,8625.902
2007-03-12,8719.638
2007-03-13,8508.1455
2007-03-14,8608.568
2007-03-17,8306.127
2007-03-18,8458.463
2007-03-19,8507.275
2007-03-20,8610.093
2007-03-21,8674.53
2007-03-24,8657.88
2007-03-25,8614.896
2007-03-26,8480.182
2007-03-27,8491.836
2007-03-28,7985.445
2007-03-31,7871.406
2007-04-01,7744.464
2007-04-02,7484.171
2007-04-03,7661.908
2007-04-04,7426.4683
2007-04-07,7417.6655
2007-04-08,7468.781
2007-04-09,7884.943
2007-04-10,7791.829
2007-04-11,7684.658
2007-04-14,7703.094
2007-04-15,7598.038
2007-04-16,7394.237
2007-04-17,7163.3257
2007-04-18,7256.346
2007-04-21,7171.7144
2007-04-22,7269.906
2007-04-23,7142.3228
2007-04-24,7023.776
2007-04-25,7045.559
2007-04-28,6984.194
2007-04-29,7053.2637
2007-04-30,7260.3384
2007-05-01,7178.472
2007-05-02,7237.744
2007-05-05,7376.25
2007-05-06,7344.8135
