Date,Predict
2011-03-17,8158.0234
2011-03-18,8158.0234
2011-03-21,8306.037
2011-03-22,8381.561
2011-03-23,8480.444
2011-03-24,8486.939
2011-03-25,8545.307
2011-03-28,8599.771
2011-03-29,8543.626
2011-03-30,8495.241
2011-03-31,8561.068
2011-04-01,8637.332
2011-04-06,8651.215
2011-04-07,8724.226
2011-04-08,8835.377
2011-04-11,8854.754
2011-04-12,8872.866
2011-04-13,8790.332
2011-04-14,8680.782
2011-04-15,8739.603
2011-04-18,8779.887
2011-04-19,8704.973
2011-04-20,8597.841
2011-04-21,8657.733
2011-04-22,8843.512
2011-04-25,8930.005
2011-04-26,8965.212
2011-04-27,8844.441
2011-04-28,8961.608
2011-04-29,9037.852
2011-05-03,8999.569
2011-05-04,8963.644
2011-05-05,8887.269
2011-05-06,8880.279
2011-05-09,8947.167
2011-05-10,8951.205
2011-05-11,8997.342
2011-05-12,9022.833
2011-05-13,8927.367
2011-05-16,8988.695
2011-05-17,8946.145
2011-05-18,8867.425
2011-05-19,8835.931
2011-05-20,8902.074
2011-05-23,8894.279
2011-05-24,8719.473
2011-05-25,8683.023
2011-05-26,8685.056
2011-05-27,8748.998
2011-05-30,8757.864
2011-05-31,8709.989
2011-06-01,8811.413
2011-06-02,8949.26
2011-06-03,8931.274
2011-06-07,8973.782
2011-06-08,8974.448
2011-06-09,8993.963
2011-06-10,8969.869
2011-06-13,8991.477
2011-06-14,8743.463
2011-06-15,8689.912
2011-06-16,8785.046
2011-06-17,8692.467
2011-06-20,8625.329
2011-06-21,8632.88
2011-06-22,8527.934
2011-06-23,8617.888
2011-06-24,8556.492
2011-06-27,8523.567
2011-06-28,8415.287
2011-06-29,8492.986
2011-06-30,8497.103
2011-07-01,8537.85
2011-07-04,8638.018
2011-07-05,8753.155
2011-07-06,8729.235
2011-07-07,8742.744
2011-07-08,8746.742
2011-07-11,8734.649
2011-07-12,8702.013
2011-07-13,8537.214
2011-07-14,8438.542
2011-07-15,8453.392
2011-07-18,8452.603
2011-07-19,8506.677
2011-07-20,8485.252
2011-07-21,8567.623
2011-07-22,8659.067
2011-07-25,8723.064
2011-07-26,8716.895
2011-07-27,8653.915
2011-07-28,8727.228
2011-07-29,8692.458
2011-08-01,8690.384
2011-08-02,8584.69
2011-08-03,8583.828
2011-08-04,8425.004
2011-08-05,8430.863
2011-08-08,7939.844
2011-08-09,7756.125
2011-08-10,7279.9316
2011-08-11,7706.9165
2011-08-12,7564.4795
2011-08-15,7809.4023
2011-08-16,7755.718
2011-08-17,7867.489
2011-08-18,7792.202
2011-08-19,7710.3276
2011-08-22,7422.13
2011-08-23,7360.933
2011-08-24,7380.23
