Date,Predict
2007-01-03,2471.0105
2007-01-04,2471.0105
2007-01-05,2465.208
2007-01-08,2486.1592
2007-01-09,2476.5188
2007-01-10,2484.3887
2007-01-11,2475.2402
2007-01-12,2505.6409
2007-01-16,2522.1748
2007-01-17,2544.7188
2007-01-18,2528.2778
2007-01-19,2515.8757
2007-01-22,2478.7815
2007-01-23,2495.4075
2007-01-24,2469.6338
2007-01-25,2484.0933
2007-01-26,2509.971
2007-01-29,2482.2244
2007-01-30,2475.8303
2007-01-31,2487.7332
2007-02-01,2484.3887
2007-02-02,2514.6948
2007-02-05,2514.793
2007-02-06,2515.5806
2007-02-07,2516.368
2007-02-08,2524.1436
2007-02-09,2524.9312
2007-02-12,2531.9202
2007-02-13,2501.4097
2007-02-14,2496.1946
2007-02-15,2508.6917
2007-02-16,2530.148
2007-02-20,2531.8213
2007-02-21,2532.1172
2007-02-22,2543.6357
2007-02-23,2563.2312
2007-02-26,2562.345
2007-02-27,2564.8074
2007-02-28,2509.3804
2007-03-01,2453.5051
2007-03-02,2419.3918
2007-03-05,2431.875
2007-03-06,2410.3503
2007-03-07,2405.5354
2007-03-08,2424.6997
2007-03-09,2438.462
2007-03-12,2444.8525
2007-03-13,2427.157
2007-03-14,2430.892
2007-03-15,2393.5476
2007-03-16,2413.2983
2007-03-19,2418.9988
2007-03-20,2426.7637
2007-03-21,2436.6926
2007-03-22,2457.0454
2007-03-23,2497.9658
2007-03-26,2492.7512
2007-03-27,2492.5542
2007-03-28,2489.8977
2007-03-29,2468.5518
2007-03-30,2473.7646
2007-04-02,2461.3723
2007-04-03,2466.7812
2007-04-04,2473.568
2007-04-05,2492.8494
2007-04-09,2498.4575
2007-04-10,2518.5332
2007-04-11,2508.79
2007-04-12,2518.3364
2007-04-13,2496.5881
2007-04-16,2520.2065
2007-04-17,2540.7805
2007-04-18,2558.9966
2007-04-19,2547.3772
2007-04-20,2537.4329
2007-04-23,2565.0042
2007-04-24,2565.595
2007-04-25,2568.1555
2007-04-26,2573.179
2007-04-27,2590.911
2007-04-30,2593.8665
2007-05-01,2597.4138
2007-05-02,2569.633
2007-05-03,2571.7017
2007-05-04,2600.1726
2007-05-07,2613.5747
2007-05-08,2611.7021
2007-05-09,2602.439
2007-05-10,2596.9211
2007-05-11,2604.0156
2007-05-14,2581.256
2007-05-15,2603.3262
2007-05-16,2584.2114
2007-05-17,2572.391
2007-05-18,2583.8176
2007-05-21,2587.5613
2007-05-22,2600.1726
2007-05-23,2618.9956
2007-05-24,2631.4153
2007-05-25,2616.2358
2007-05-29,2586.8716
2007-05-30,2600.2712
2007-05-31,2595.5417
2007-06-01,2638.2175
2007-06-04,2652.5142
2007-06-05,2644.7246
2007-06-06,2649.753
2007-06-07,2638.3162
2007-06-08,2616.433
2007-06-11,2580.6655
2007-06-12,2608.7458
2007-06-13,2599.6802
2007-06-14,2597.8079
2007-06-15,2623.0366
2007-06-18,2663.6577
2007-06-19,2669.5752
2007-06-20,2658.7268
2007-06-21,2670.4626
2007-06-22,2636.3445
2007-06-25,2648.9644
2007-06-26,2629.4438
2007-06-27,2628.0635
2007-06-28,2603.0305
2007-06-29,2644.7246
2007-07-02,2658.332
2007-07-03,2655.867
2007-07-05,2674.9011
2007-07-06,2684.3713
2007-07-09,2694.2368
2007-07-10,2706.7683
2007-07-11,2695.8154
2007-07-12,2675.296
2007-07-13,2700.6504
2007-07-16,2734.4045
2007-07-17,2740.7227
2007-07-18,2739.4392
2007-07-19,2732.726
2007-07-20,2753.8542
2007-07-23,2747.2388
2007-07-24,2735.885
2007-07-25,2711.4065
2007-07-26,2698.085
2007-07-27,2659.22
2007-07-30,2638.6118
2007-07-31,2607.2676
2007-08-01,2644.9219
2007-08-02,2578.104
2007-08-03,2596.9211
2007-08-06,2611.998
2007-08-07,2564.7087
2007-08-08,2572.4897
2007-08-09,2621.558
2007-08-10,2612.0964
2007-08-13,2569.2395
2007-08-14,2605.7893
2007-08-15,2588.7437
2007-08-16,2533.1013
2007-08-17,2482.0273
2007-08-20,2550.4292
2007-08-21,2551.119
2007-08-22,2542.454
2007-08-23,2582.5369
2007-08-24,2601.6506
2007-08-27,2579.1877
2007-08-28,2609.5342
2007-08-29,2585.8867
2007-08-30,2558.7012
2007-08-31,2584.606
2007-09-04,2634.964
2007-09-05,2635.1611
2007-09-06,2656.7544
2007-09-07,2654.1904
2007-09-10,2620.474
2007-09-11,2620.7695
2007-09-12,2612.3923
2007-09-13,2631.6128
2007-09-14,2645.7107
2007-09-17,2621.0654
2007-09-18,2632.7954
2007-09-19,2631.8096
2007-09-20,2703.7092
2007-09-21,2697.4932
2007-09-24,2708.545
2007-09-25,2714.071
2007-09-26,2696.4077
2007-09-27,2733.911
2007-09-28,2749.0159
2007-10-01,2746.844
2007-10-02,2741.611
2007-10-03,2777.4583
2007-10-04,2771.2356
2007-10-05,2772.322
2007-10-08,2791.387
2007-10-09,2814.113
2007-10-10,2830.1248
2007-10-11,2841.493
2007-10-12,2860.477
2007-10-15,2816.1885
2007-10-16,2845.2498
2007-10-17,2806.504
2007-10-18,2837.835
2007-10-19,2814.7063
2007-10-22,2835.4626
2007-10-23,2743.1907
2007-10-24,2811.939
2007-10-25,2811.7415
2007-10-26,2814.0142
2007-10-29,2842.5803
2007-10-30,2851.182
2007-10-31,2843.3713
2007-11-01,2863.641
2007-11-02,2870.7617
2007-11-05,2848.809
2007-11-06,2819.1536
2007-11-07,2845.843
2007-11-08,2834.573
2007-11-09,2785.163
2007-11-12,2687.0352
2007-11-13,2657.839
2007-11-14,2651.9224
2007-11-15,2735.3916
2007-11-16,2674.5073
2007-11-19,2670.0684
2007-11-20,2660.7976
2007-11-21,2642.1611
2007-11-23,2609.633
2007-11-26,2618.01
2007-11-27,2638.5132
2007-11-28,2597.3154
2007-11-29,2645.9077
2007-11-30,2691.3757
2007-12-03,2731.048
2007-12-04,2692.8557
2007-12-05,2658.7268
2007-12-06,2687.0352
2007-12-07,2703.7092
2007-12-10,2747.535
2007-12-11,2747.93
2007-12-12,2760.1743
2007-12-13,2740.624
2007-12-14,2689.4026
2007-12-17,2685.7522
2007-12-18,2661.5864
2007-12-19,2636.3445
2007-12-20,2632.1052
2007-12-21,2666.4192
2007-12-24,2714.5645
2007-12-26,2731.8376
2007-12-27,2740.1304
2007-12-28,2752.1758
2007-12-31,2730.8503
2008-01-02,2701.6375
2008-01-03,2691.8691
2008-01-04,2650.5422
2008-01-07,2610.224
2008-01-08,2554.0728
2008-01-09,2547.0815
2008-01-10,2484.9788
2008-01-11,2493.0464
2008-01-14,2512.5295
2008-01-15,2511.5454
2008-01-16,2489.996
2008-01-17,2432.5635
2008-01-18,2447.409
2008-01-22,2407.9917
2008-01-23,2266.2349
2008-01-24,2271.7268
2008-01-25,2371.9358
2008-01-28,2444.5574
2008-01-29,2368.0073
2008-01-30,2402.882
2008-01-31,2389.1265
2008-02-01,2360.3474
2008-02-04,2434.5298
2008-02-05,2454.98
2008-02-06,2387.5547
2008-02-07,2370.2666
2008-02-08,2303.9038
2008-02-11,2334.2305
2008-02-12,2354.1606
2008-02-13,2376.258
2008-02-14,2389.9124
2008-02-15,2418.409
2008-02-19,2363.7844
2008-02-20,2391.681
2008-02-21,2336.488
2008-02-22,2386.867
2008-02-25,2350.037
2008-02-26,2346.8948
2008-02-27,2357.6958
2008-02-28,2372.2307
2008-02-29,2385.3936
2008-03-03,2352.4917
2008-03-04,2315.385
2008-03-05,2288.7944
2008-03-06,2310.6746
2008-03-07,2309.8894
2008-03-10,2249.8591
2008-03-11,2256.3308
2008-03-12,2254.8599
2008-03-13,2304.2961
2008-03-14,2264.3716
2008-03-17,2315.2866
2008-03-18,2213.0037
2008-03-19,2260.7432
2008-03-20,2316.1704
2008-03-24,2265.5483
2008-03-25,2312.3425
2008-03-26,2372.2307
2008-03-27,2371.6416
2008-03-28,2358.285
2008-03-31,2335.0154
2008-04-01,2309.3008
2008-04-02,2349.9387
2008-04-03,2405.8298
2008-04-04,2390.6
2008-04-07,2409.2693
2008-04-08,2428.6313
2008-04-09,2396.2007
2008-04-10,2394.53
2008-04-11,2369.8738
2008-04-14,2370.7576
2008-04-15,2330.7944
2008-04-16,2331.1868
2008-04-17,2356.7136
2008-04-18,2390.011
2008-04-21,2436.3972
2008-04-22,2435.021
2008-04-23,2438.9534
2008-04-24,2433.5464
2008-04-25,2449.9653
2008-04-28,2466.0928
