Date,Predict
2009-01-05,319.7618
2009-01-06,319.7618
2009-01-07,322.49426
2009-01-08,328.29736
2009-01-09,322.43005
2009-01-12,321.29276
2009-01-13,320.66928
2009-01-14,315.6585
2009-01-15,317.05923
2009-01-16,312.73096
2009-01-19,314.295
2009-01-20,313.26138
2009-01-21,310.9758
2009-01-22,307.24945
2009-01-23,308.10754
2009-02-02,309.92505
2009-02-03,304.3391
2009-02-04,294.77966
2009-02-05,292.58078
2009-02-06,285.40482
2009-02-09,289.04053
2009-02-10,293.7073
2009-02-11,288.8591
2009-02-12,283.41202
2009-02-13,283.068
2009-02-16,281.7102
2009-02-17,279.75613
2009-02-18,271.10507
2009-02-19,263.62164
2009-02-20,263.82852
2009-02-23,261.54486
2009-02-24,254.37296
2009-02-25,246.8703
2009-02-26,254.87503
2009-02-27,252.41034
2009-03-02,255.27858
2009-03-03,257.5752
2009-03-04,251.38026
2009-03-05,253.89789
2009-03-06,255.70903
2009-03-09,254.44469
2009-03-10,255.55656
2009-03-11,258.77808
2009-03-12,262.1201
2009-03-13,257.56625
2009-03-16,258.69727
2009-03-17,262.21
2009-03-18,270.28464
2009-03-19,280.23547
2009-03-20,274.4523
2009-03-23,274.42523
2009-03-24,268.50034
2009-03-25,278.99655
2009-03-26,286.43796
2009-03-27,295.5524
2009-03-30,296.68005
2009-03-31,291.59998
2009-04-01,288.54156
2009-04-02,298.03558
2009-04-03,306.97562
2009-04-07,319.38605
2009-04-08,330.86267
2009-04-09,323.0539
2009-04-10,321.33862
2009-04-13,334.22192
2009-04-14,348.37054
2009-04-15,355.77942
2009-04-16,350.23038
2009-04-17,356.53983
2009-04-20,345.5782
2009-04-21,331.10184
2009-04-22,324.1184
2009-04-23,332.4268
2009-04-24,325.97296
2009-04-27,320.54092
2009-04-28,324.33868
2009-04-29,326.074
2009-05-04,332.88696
2009-05-05,347.15894
2009-05-06,362.01636
2009-05-07,364.60938
2009-05-08,378.9599
2009-05-11,383.1934
2009-05-12,390.72073
2009-05-13,399.9473
2009-05-14,392.07068
2009-05-15,388.40634
2009-05-18,400.46432
2009-05-19,400.48312
2009-05-20,410.6139
2009-05-21,419.80133
2009-05-22,416.29523
2009-05-25,410.1047
2009-05-26,426.64438
2009-05-27,429.6491
2009-05-28,430.51218
2009-05-29,421.58887
2009-06-01,418.16592
2009-06-02,431.16672
2009-06-03,445.27438
2009-06-04,445.74115
2009-06-05,456.11276
2009-06-08,475.2184
2009-06-09,497.0357
2009-06-10,505.7742
2009-06-11,488.7905
2009-06-12,501.14587
2009-06-15,495.39288
2009-06-16,476.37152
2009-06-17,455.8548
2009-06-18,458.50247
2009-06-19,463.1049
2009-06-22,460.3102
2009-06-23,444.75046
2009-06-24,426.59708
2009-06-25,442.88416
2009-06-26,442.55103
2009-06-29,449.77353
2009-06-30,446.90372
2009-07-01,433.25452
2009-07-02,415.81357
2009-07-03,424.2009
2009-07-06,427.51617
2009-07-07,445.23627
2009-07-08,439.86783
2009-07-09,440.00098
2009-07-10,440.9047
2009-07-13,435.37204
2009-07-14,426.28442
2009-07-15,420.3403
2009-07-16,430.55957
2009-07-17,435.15353
2009-07-20,431.77396
2009-07-21,416.73917
2009-07-22,420.51053
2009-07-23,424.98682
2009-07-24,438.63162
2009-07-27,458.17737
2009-07-28,473.28784
2009-07-29,469.74634
2009-07-30,465.72937
2009-07-31,460.3293
2009-08-03,475.07428
2009-08-04,477.09235
2009-08-05,484.53046
2009-08-06,489.40775
2009-08-07,491.28912
2009-08-10,491.68478
2009-08-11,502.11362
2009-08-12,505.06693
