Date,Predict
2007-01-02,3307.2837
2007-01-03,3307.2837
2007-01-04,3358.4426
2007-01-05,3305.0793
2007-01-08,3277.7676
2007-01-09,3186.2087
2007-01-10,3235.365
2007-01-11,3191.973
2007-01-12,3216.436
2007-01-15,3257.3198
2007-01-16,3304.0874
2007-01-17,3329.9685
2007-01-18,3349.2378
2007-01-19,3393.9236
2007-01-22,3443.0964
2007-01-23,3516.4133
2007-01-24,3436.9744
2007-01-25,3493.2844
2007-01-26,3467.1865
2007-01-29,3382.2812
2007-01-30,3441.105
2007-01-31,3448.8225
2007-02-01,3465.9487
2007-02-02,3549.9775
2007-02-05,3582.0598
2007-02-06,3556.6619
2007-02-07,3565.8064
2007-02-08,3552.1638
2007-02-09,3503.152
2007-02-12,3436.2617
2007-02-13,3407.2244
2007-02-14,3383.234
2007-02-15,3476.7234
2007-02-16,3470.607
2007-02-19,3418.424
2007-02-20,3416.5588
2007-02-21,3468.5396
2007-02-22,3452.566
2007-02-23,3506.522
2007-02-26,3526.1602
2007-02-27,3569.4644
2007-02-28,3454.1597
2007-03-01,3268.1262
2007-03-02,3291.2957
2007-03-05,3255.7976
2007-03-06,3165.0159
2007-03-07,3231.2278
2007-03-08,3231.0613
2007-03-09,3247.5083
2007-03-12,3295.451
2007-03-13,3327.408
2007-03-14,3292.0051
2007-03-15,3166.6165
2007-03-16,3285.47
2007-03-19,3303.774
2007-03-20,3357.6477
2007-03-21,3392.018
2007-03-22,3387.3167
2007-03-23,3491.6567
2007-03-26,3492.906
2007-03-27,3545.701
2007-03-28,3543.4207
2007-03-29,3495.593
2007-03-30,3478.2869
2007-04-02,3565.2598
2007-04-03,3518.1045
2007-04-04,3533.4922
2007-04-05,3580.0413
2007-04-10,3571.315
2007-04-11,3586.0664
2007-04-12,3594.3218
2007-04-13,3629.4172
2007-04-16,3649.7725
2007-04-17,3689.7102
2007-04-18,3651.4985
2007-04-19,3676.9043
2007-04-20,3606.6597
2007-04-23,3650.751
2007-04-24,3706.7742
2007-04-25,3689.3413
2007-04-26,3627.1863
2007-04-27,3651.3516
2007-04-30,3601.7788
2007-05-02,3601.211
2007-05-04,3653.7095
2007-05-07,3679.779
2007-05-08,3731.4177
2007-05-09,3724.7473
2007-05-10,3656.3306
2007-05-11,3645.1196
2007-05-14,3552.1113
2007-05-15,3623.5562
2007-05-16,3598.3708
2007-05-17,3537.5684
2007-05-18,3548.7485
2007-05-21,3518.5137
2007-05-22,3560.1514
2007-05-23,3650.057
2007-05-24,3629.9749
2007-05-25,3560.635
2007-05-28,3595.6365
2007-05-29,3608.343
2007-05-30,3634.932
2007-05-31,3604.3137
2007-06-01,3672.9448
2007-06-04,3701.5073
2007-06-05,3767.6309
2007-06-06,3824.1775
2007-06-08,3797.14
2007-06-11,3663.7002
2007-06-12,3719.9329
2007-06-13,3713.3582
2007-06-14,3674.3347
2007-06-15,3764.3318
2007-06-18,3808.8442
2007-06-19,3862.4326
2007-06-20,3853.6038
2007-06-21,3850.3972
2007-06-22,3745.3176
2007-06-25,3739.416
2007-06-26,3765.976
2007-06-27,3764.3948
2007-06-28,3799.8816
2007-06-29,3803.0867
2007-07-02,3829.8196
2007-07-03,3795.1787
2007-07-04,3821.6567
2007-07-05,3872.5068
2007-07-06,3885.2505
2007-07-09,3886.2947
2007-07-10,3946.212
2007-07-11,3908.5134
2007-07-12,3852.939
2007-07-13,3884.8389
2007-07-16,3927.5261
2007-07-17,3906.35
2007-07-18,3851.2092
2007-07-19,3845.144
2007-07-20,3852.148
2007-07-23,3912.3958
2007-07-24,3869.7217
2007-07-25,3917.5757
2007-07-26,3852.9185
2007-07-27,3880.1548
2007-07-30,3715.6868
2007-07-31,3754.1072
2007-08-01,3754.5398
2007-08-02,3693.5125
2007-08-03,3742.883
2007-08-06,3735.7275
2007-08-07,3605.6814
2007-08-08,3665.3953
2007-08-09,3669.0066
2007-08-10,3670.1545
2007-08-13,3493.3784
2007-08-14,3516.9387
2007-08-16,3562.0852
2007-08-17,3418.2354
2007-08-20,3330.2925
2007-08-21,3448.874
2007-08-22,3408.0518
2007-08-23,3433.6099
2007-08-24,3613.287
2007-08-27,3544.2615
2007-08-28,3662.2263
2007-08-29,3575.6255
2007-08-30,3493.053
2007-08-31,3637.847
2007-09-03,3591.072
2007-09-04,3635.9736
2007-09-05,3640.204
2007-09-06,3678.3994
2007-09-07,3626.7656
